"LISTING","TRACKING","GRADE","VISIBILITY SCORE","TOTAL REVENUE","TOTAL VIEWS","SUPERSTAR KEYWORD","TAGS"
"Hot Girls Have Grandma Tee | Boxy Cropped Shirt, Feminine Typography","no","E","9%","$0.00",0,"",""
"Hot Girls Have Grandma Hobbies Pin Button | Vintage Green Round Pin","no","E","9%","$0.00",0,"",""
"Hot Girls Have Grandma Hobbies Pin Button | Round Funny Button","no","E","9%","$0.00",0,"",""
"Hot Girls Have Grandma Hobbies Candle | 13.75oz Scented Soy Candle","no","E","9%","$0.00",0,"",""
"Hot Girls Have Grandma Hobbies Candle Frosted Glass 11oz | Wooden Lid","no","E","9%","$0.00",0,"",""
"Fall leaves pattern, botanical embroidery designs, beginner friendly embroidery, self care gift, printable PDF","yes","B","9%","$0.00",25,"fall leaves pattern","botanical embroidery, embroidery pattern, modern geometric, embroidery designs, self care gift, fall leaves pattern, beginner friendly, printable pdf, sacred geometry diy, medieval needlework, simple adult easy, hoop wall art, whimsical plants"
"Beginner floral embroidery design — PDF digital product — 6"" & 8"" hoops","yes","A","9%","$0.00",19,"beginner floral embroidery","embroidery designs, self care gift, digital products, embroidery pattern, embroidery pdf, round embroidery, botanical embroidery, cross stitch designs, fall leaves art, hoop wall art, burnout recovery, floral rosette, scalloped border"
"Digital leaf mandala embroidery pattern — beginner-friendly design — PDF download for 6” and 8” hoops","yes","A","29%","$0.00",40,"embroidery pattern","easy embroidery pdf, botanical embroidery, simple embroidery, beginner design, beginner craft, organic pattern, hand drawn pattern, meditation pattern, stress relief, modern hand pattern, embroidery designs, self care gift, digital products"
"Digital wreath of diamonds embroidery pattern — beginner-friendly hoop art — 6"" & 8"" PDF download","no","A","9%","$0.00",8,"","hand embroidery, hoop art pattern, easy embroidery pdf, botanical embroidery, simple embroidery, beginner design, beginner craft, organic pattern, hand drawn pattern, meditation pattern, stress relief, modern hand pattern, slow stitching"
"Digital floral embroidery pattern — hand-drawn flower design — intermediate PDF download","yes","A","9%","$0.00",11,"intermediate embroidery pattern","hand needlework, needlework pattern, navy embroidery, leaf star design, intermediate pattern, detailed botanical, leaf rosette pdf, advanced embroidery, statement hoop art, pdf pattern, botanical embroidery, hoop embroidery, beginner pattern"
"Digital hand-drawn starburst embroidery pattern — intermediate design — PDF download","no","A","9%","$0.00",7,"boho mandala embroidery pattern","simple needlework, boho mandala, detailed mandala, intermediate design, ornate star pattern, mandala hoop art, bohemian pattern, statement mandala, hoop art pattern, embroidery hoop, modern needlework, easy embroidery pdf, instant download"
