Date,Type,Title,Info,Currency,Amount,"Fees & Taxes",Net,"Tax Details",Status,"Availability Date"
"September 16, 2026",Marketing,"Etsy Ads","Bill for click-throughs to your shop on Sep 15, 2026",USD,--,-$0.08,-$0.08,--
"September 13, 2026",Marketing,"Etsy Ads","Bill for click-throughs to your shop on Sep 12, 2026",USD,--,-$0.04,-$0.04,--
"September 11, 2026",Marketing,"Etsy Ads","Bill for click-throughs to your shop on Sep 10, 2026",USD,--,-$0.12,-$0.12,--
"September 11, 2026",Deposit,"Returned deposit",,USD,$0.33,--,$0.33,--
"September 8, 2026",Deposit,"$0.33 sent to your bank account",,USD,--,--,--,--
"September 8, 2026",Marketing,"Etsy Ads","Bill for click-throughs to your shop on Sep 7, 2026",USD,--,-$0.04,-$0.04,--
"September 7, 2026",Marketing,"Etsy Ads","Bill for click-throughs to your shop on Sep 6, 2026",USD,--,-$0.16,-$0.16,--
"September 6, 2026",Marketing,"Etsy Ads","Bill for click-throughs to your shop on Sep 5, 2026",USD,--,-$0.12,-$0.12,--
"September 5, 2026",Marketing,"Etsy Ads","Bill for click-throughs to your shop on Sep 4, 2026",USD,--,-$0.06,-$0.06,--
"September 4, 2026",Marketing,"Etsy Ads","Bill for click-throughs to your shop on Sep 3, 2026",USD,--,-$0.07,-$0.07,--
"September 3, 2026",Marketing,"Etsy Ads","Bill for click-throughs to your shop on Sep 2, 2026",USD,--,-$0.15,-$0.15,--
"September 3, 2026",Tax,"Tax: Transaction","Order #4163388166",USD,--,-$0.02,-$0.02,--
"September 3, 2026",Fee,"Transaction fee: Digital geometric embroidery pattern — b...","Order #4163388166",USD,--,-$0.39,-$0.39,--
"September 3, 2026",Tax,"Sales tax paid by buyer","Order #4163388166",USD,--,-$0.78,-$0.78,--
"September 3, 2026",Fee,"Processing fee","Order #4163388166",USD,--,-$0.45,-$0.45,--
"September 3, 2026",Sale,"Payment for Order #4163388166",,USD,$6.78,--,$6.78,--
"September 3, 2026",Fee,"Listing fee","Listing #4466076995",USD,--,-$0.20,-$0.20,--
