"Keywords","Average Searches","Competition","KD","Tag Occurrences"
"advent calendar",8347,33071,"30","3"
"christmas tree skirt",1747,18056,"51","1"
"book marks",2485,28478,"53","1"
"christmas phone case",5216,65383,"55","0"
"fidget toys",3693,58357,"60","2"
"book tracker",2173,44412,"66","1"
"nightmare before christmas",1537,34132,"67","0"
"christmas alphabet",1694,38269,"68","0"
"first christmas married ornament",1929,45301,"69","0"
"christmas embroidery designs",1541,41020,"71","0"
