"Keywords","Average Searches","Competition","KD","Tag Occurrences"
"titanium earrings",5465,27899,"35","0"
"flat back earrings",4546,18824,"31","0"
"cat earrings",2626,36480,"57","2"
"moissanite earrings",2485,20495,"46","0"
"something blue",2429,36754,"59","1"
"opal earrings",2181,39155,"63","0"
"sword earrings",2079,3297,"10","0"
"emerald earrings",1920,38203,"65","0"
"sun earrings",1887,20668,"52","0"
"moss agate earrings",1878,3135,"11","0"
"flatback earrings",1867,6234,"26","0"
"jewelry organizer",1853,35520,"64","3"
"fish earrings",1851,24851,"56","0"
"book earrings",1803,11642,"41","0"
"diwali",1783,29301,"61","2"
"jade earrings",1701,19892,"53","0"
"threader earrings",1669,15844,"49","0"
"waterproof earrings",1633,5521,"26","0"
"huggie hoop earrings",1633,36667,"68","0"
"small hoop earrings",1631,30743,"64","0"
"huggies",1610,18618,"53","1"
"bird earrings",1608,25744,"60","0"
"aquamarine earrings",1595,15867,"50","1"
"weird earrings",1523,8606,"38","0"
"surgical steel earrings",1505,20092,"56","0"
