"Keywords","Average Searches","Competition","KD","Tag Occurrences"
"mystery box",7343,17279,"19","1"
"fall host gift",4188,8423,"15","0"
"chicago bears",3961,12057,"24","1"
"mahjong tiles",3912,11270,"23","2"
"father of the bride gift",3719,19230,"36","0"
"boo basket",3480,16100,"33","1"
"10 year anniversary gift",2353,11437,"34","0"
"groomsmen proposal",2292,16084,"42","1"
"aquarius gift",2219,14975,"41","0"
"mother of the groom gift",2177,22877,"51","0"
"sapphire birthstone gift",1946,22295,"53","0"
"50th birthday gift for women",1909,26513,"57","0"
"40th birthday gift for women",1888,26627,"57","0"
"10 year anniversary gift for him",1877,3472,"13","0"
"cruise door magnets",1868,21123,"53","1"
"21st birthday gift for her",1807,9993,"37","0"
"21st birthday gift",1754,33766,"64","0"
"50th anniversary gift",1692,22239,"56","0"
"18th birthday gift girl",1638,4764,"23","0"
"officiant gift",1607,6431,"30","0"
"80th birthday gift",1604,13393,"46","0"
"hug in a box",1601,4883,"24","1"
"50th birthday gift for men",1574,21645,"57","0"
"16th birthday gift girl",1541,6911,"33","0"
"1 year anniversary gift for him",1541,6549,"31","0"
"firefighter gift",1533,35720,"68","0"
"indian return gift",1523,3016,"15","0"
"thanksgiving hosting gift",1513,7631,"35","0"
"sweet 16 gift girl",1507,13414,"47","0"
"spa gift for her",1501,33407,"67","0"
