"Keywords","Average Searches","Competition","KD","Tag Occurrences"
"embroidery fonts",3928,46786,"54","1"
"baby name sign",3825,69628,"63","1"
"mini cross stitch pattern",1321,26331,"65","1"
"stick and stitch",1166,9591,"46","7"
"dmc color chart",405,5520,"57","1"
"tree topper star",256,2588,"50","1"
"christmaspattern",126,140,"2","1"
"embroiderypattern",34,354,"51","1"
"embroiderybundle",9,"-","","1"
"pdf christmas art",1,"-","","1"
"tamar nahir",1,13,"56","2"
"cute winter craft",1,"-","","1"
"christmas cookie garland",1,"-","","1"
"holiday hoop art",0,2236,"","0"
