"Keywords","Average Searches","Competition","KD","Tag Occurrences"
"kitchenanddining",6888,72,"1","6"
"cutecore",5098,5467,"2","1"
"250th anniversary",4131,5010,"4","1"
"homeware",6168,8273,"6","3"
"homedecor",16896,27152,"10","69"
"hoya",3151,12431,"30","2"
"plant stand",4846,21557,"32","2"
"macrame wall hanging",4571,20372,"32","2"
"hanging planter",2998,12902,"32","2"
"moss wall art",2403,12827,"36","1"
"dried flower bouquet",2699,15682,"38","1"
"wall planter",2518,14329,"38","2"
"fairy lights",2205,12606,"38","1"
"chunky knit blanket",2066,11699,"38","1"
"best selling items",3122,20631,"41","2"
"lamp shade",3604,36387,"50","1"
"etsy sellers",2425,25956,"51","1"
"goblincore",2992,42728,"58","1"
"kilim rug",2247,39547,"62","1"
