"Keywords","Average Searches","Competition","KD","Tag Occurrences"
"minecraft",13347,16768,"5","1"
"magic the gathering",9980,29686,"24","1"
"kirby",8282,12668,"9","2"
"gengar",6075,7138,"4","2"
"dice bag",5093,15408,"24","1"
"pokemon cards",4982,36015,"43","3"
"pokemon binder",4095,2918,"1","5"
"pokeball",3450,10258,"24","6"
"eevee",3437,11917,"27","4"
"sylveon",3298,2865,"1","4"
"gameboy",3278,12394,"29","2"
"superman",3212,15365,"34","1"
"dog harness",3145,13898,"32","1"
"pikachu",3114,31081,"50","12"
"mimikyu",2927,1511,"1","1"
"pokemon card",2837,35999,"55","4"
"jester",2621,13679,"36","1"
"pokemon stickers",2614,16842,"40","0"
"mens wallet",2593,30610,"54","1"
"diaper bag",2588,33290,"55","1"
"bulbasaur",2556,8054,"25","2"
"custom pokemon card",2493,9107,"28","1"
"artisan keycap",2488,5083,"16","1"
"anime figure",2352,17404,"43","2"
"lorcana",2280,5449,"19","1"
"hacky sack",2038,281,"1","1"
"pokemon keychain",2028,7052,"27","0"
"sling bag",2012,21116,"51","1"
"elf on the shelf",1957,16705,"47","1"
"waifu",1718,21930,"55","1"
"card binder",1618,15595,"49","6"
"leafeon",1618,2070,"5","2"
"pokemon plush",1582,4536,"23","2"
"piplup",1542,825,"1","2"
"stress ball",1539,4091,"21","1"
"umbreon",1502,4835,"25","3"
