"Keywords","Average Searches","Competition","KD","Tag Occurrences"
"charlie kirk shirt",8608,37411,"32","0"
"world cup 2026",4959,2337,"1","1"
"heated rivalry shirt",3530,1841,"1","0"
"monster high",3277,8778,"21","1"
"bts shirt",3229,4809,"9","0"
"bad bunny shirt",2358,2933,"5","0"
"taylor swift shirt",2311,13461,"38","0"
"michael jackson shirt",2181,769,"1","0"
"blythe doll",2163,13311,"39","1"
"harry potter shirt",2126,5859,"22","0"
"project hail mary shirt",2070,155,"1","0"
"chris brown shirt",2030,5622,"22","0"
"250th anniversary shirt",2005,1146,"1","0"
"big brother shirt",1993,20373,"50","0"
"nfl shirt",1987,28156,"58","0"
"big sister shirt",1866,25001,"56","0"
"dnd shirt",1838,19445,"51","0"
"life of a showgirl shirt",1835,9848,"36","0"
"dungeon crawler carl shirt",1757,925,"1","0"
"dachshund shirt",1746,29238,"61","0"
"mothman shirt",1700,2643,"10","0"
"stranger things shirt",1697,1950,"3","0"
"corgi shirt",1668,13732,"46","0"
"one silly goose",1638,12376,"44","1"
"resident evil shirt",1556,922,"1","0"
"custom cat shirt",1543,30493,"65","0"
"wicked shirt",1527,19900,"56","0"
"stardew valley shirt",1523,1341,"1","0"
"custom bootleg shirt",1518,22275,"58","0"
"harry styles shirt",1507,1124,"1","0"
