"Keywords","Average Searches","Competition","KD","Tag Occurrences"
"fallout",16406,9645,"1","2"
"elden ring",12189,5991,"1","1"
"stardew valley",11991,8197,"1","1"
"heated rivalry",11549,6,"1","1"
"hollow knight",11314,4444,"1","1"
"love and deepspace",9201,3472,"1","1"
"stranger things",8768,8805,"1","1"
"silksong",8273,2496,"1","1"
"monster hunter",6756,6075,"1","1"
"fallout new vegas",3055,1621,"1","2"
"dorohedoro",2898,554,"1","1"
"ao3",1686,1495,"1","1"
"xenoblade",1603,569,"1","1"
"bobs burgers",3285,4154,"5","1"
"mothman",5759,12003,"16","1"
"genshin",6643,19449,"23","1"
"sonic",7898,27306,"27","1"
"stardew",1943,8606,"32","1"
"genshin impact",3183,17936,"38","1"
"pokemon stickers",2614,16842,"40","0"
"sonic the hedgehog",2623,16971,"41","1"
"berry first birthday",1614,20098,"55","1"
"nail stickers",1989,26038,"56","0"
