"Shop/Listing","Search Term","Page","Position","Spotted By"
"Diamond Wreath Hand Embroidery Pattern PDF, Beginner Geometric Hoop Art, Calming Evening Craft for 6 and 8 Inch Hoops, Download","geometric wreath",2,20,"eRank Monitor"
"Digital hand drawn leaves embroidery pattern — beginner-friendly design — PDF download for calm stitching","calm stitching",2,2,"eRank Monitor"
"Digital geometric embroidery pattern — beginner-friendly hoop design — PDF download for calm stitching","calm stitching",1,1,"eRank Monitor"
"Digital hand-drawn firecracker embroidery pattern — beginner-friendly design — PDF download for calm stitching","calm stitching",2,43,"eRank Monitor"
"Hot Girls Have Grandma Hobbies Button, Funny Round Pinback Badge, Cozy Hobby Pin for Jackets, Totes & Vests, Small Gift for Her","small gift for her",1,47,"eRank Monitor"
"Funny Candle for Her, Hot Girls Have Grandma Hobbies Soy Candle 13.75oz, Vanilla Bean, Comfort Spice or Sea Breeze, Cozy Gift","candles for her",2,24,"eRank Monitor"
"Wooden Wick Candle, Hot Girls Have Grandma Hobbies Frosted Glass Candle 11oz, Coconut Soy Wax with Maple Lid, 9 Scents, Fun Gift","wooden wick candle",1,17,"eRank Monitor"
"Poinsettia Hand Embroidery Pattern PDF, Christmas Flower Hoop Art, Beginner Friendly Festive Decor Craft, 6 and 8 Inch Hoops, Download","flower hoop",1,24,"eRank Monitor"
"Personalized Snowman Snow Globe Hand Embroidery Pattern PDF, Custom Text Christmas Hoop Art, Beginner Keepsake Stitching, 6 and 8 Inch","snow globe",2,38,"eRank Monitor"
"Personalized Snowman Snow Globe Hand Embroidery Pattern PDF, Custom Text Christmas Hoop Art, Beginner Keepsake Stitching, 6 and 8 Inch","snow globes",2,39,"eRank Monitor"
"Personalized Penguin Snow Globe Hand Embroidery Pattern PDF, Custom Text Christmas Hoop Art, Cute Holiday Keepsake, 6 and 8 Inch Hoops","snow globe",2,8,"eRank Monitor"
"Personalized Penguin Snow Globe Hand Embroidery Pattern PDF, Custom Text Christmas Hoop Art, Cute Holiday Keepsake, 6 and 8 Inch Hoops","snow globes",2,19,"eRank Monitor"
