"Keywords","Avg Searches","Avg Clicks","Avg CTR","Etsy Competition","Keyword Difficulty"
"hoop embroidery pattern","< 20","Unknown","Unknown","115,158","100"
"embroidery template","93","126","135%","72,304","100"
"printable embroidery pattern","< 20","Unknown","Unknown","31,286","100"
"digital pattern download","< 20","Unknown","Unknown","792,457","100"
"beginner embroidery pattern","< 20","< 20","< 20%","64,180","100"
"easy embroidery pattern","< 20","Unknown","Unknown","84,190","100"
"simple hoop pattern","Unknown","Unknown","Unknown","Unknown",""
"botanical embroidery pattern","< 20","< 20","< 20%","10,166","100"
"geometric embroidery pattern","< 20","< 20","100%","11,328","100"
"mandala embroidery pattern","< 20","Unknown","Unknown","4,994","100"
"modern embroidery pattern","< 20","Unknown","Unknown","144,506","100"
"minimalist hoop art","Unknown","Unknown","Unknown","3,605",""
"folk floral embroidery","Unknown","Unknown","Unknown","3,850",""
"mindful stitching pattern","Unknown","Unknown","Unknown","Unknown",""
"relaxing craft project","Unknown","Unknown","Unknown","1,451",""
"slow stitching pattern","< 20","Unknown","Unknown","Unknown",""
"embroidery wall art","< 20","< 20","< 20%","122,645","100"
"frameable embroidery","Unknown","Unknown","Unknown","48,721",""
"diy hoop wall art","Unknown","Unknown","Unknown","3,646",""
"embroidery pdf pattern","< 20","Unknown","Unknown","261,959","100"
