"Keywords","Avg Searches","Avg Clicks","Avg CTR","Etsy Competition","Keyword Difficulty"
"geometric floral pattern","< 20","Unknown","Unknown","20,428","100"
"geometric leaf pattern","< 20","Unknown","Unknown","4,020","100"
"triangle embroidery pattern","< 20","Unknown","Unknown","Unknown",""
"sacred geometry embroidery","Unknown","Unknown","Unknown","306",""
"geometric flower pattern","Unknown","Unknown","Unknown","27,018",""
"polygon embroidery pattern","Unknown","Unknown","Unknown","Unknown",""
"hexagon embroidery pattern","Unknown","Unknown","Unknown","Unknown",""
"diamond embroidery pattern","Unknown","Unknown","Unknown","8,690",""
"circle embroidery pattern","Unknown","Unknown","Unknown","7,833",""
"spiral embroidery pattern","Unknown","Unknown","Unknown","Unknown",""
"concentric circle embroidery","Unknown","Unknown","Unknown","Unknown",""
"interlocking shapes pattern","Unknown","Unknown","Unknown","Unknown",""
"repeating geometry pattern","Unknown","Unknown","Unknown","Unknown",""
"tessellation embroidery","Unknown","Unknown","Unknown","Unknown",""
"grid embroidery pattern","Unknown","Unknown","Unknown","Unknown",""
"lattice embroidery pattern","Unknown","Unknown","Unknown","Unknown",""
"mosaic embroidery pattern","Unknown","Unknown","Unknown","Unknown",""
"faceted embroidery pattern","Unknown","Unknown","Unknown","Unknown",""
"angular embroidery pattern","Unknown","Unknown","Unknown","Unknown",""
"linear embroidery pattern","Unknown","Unknown","Unknown","Unknown",""
