"Keywords","Avg Searches","Avg Clicks","Avg CTR","Etsy Competition","Keyword Difficulty"
"abstract","368","399","108%","1,969,232","100"
"abstract broderie round","Unknown","Unknown","Unknown","Unknown",""
"chakra embroidery kit","Unknown","Unknown","Unknown","Unknown",""
"colorful embroidery","< 20","Unknown","Unknown","37,062","100"
"embroidery kits","2,918","3,195","109%","1,071,034","100"
"embroidery pattern modern art","< 20","Unknown","Unknown","Unknown",""
"embroidery patterns modern abstract directions","Unknown","Unknown","Unknown","Unknown",""
"hand embroidery digital pattern","< 20","Unknown","Unknown","21,838","100"
"hand embroidery pattern modern","< 20","Unknown","Unknown","19,259","100"
"hand embroidery patterns cedar waxwing","Unknown","Unknown","Unknown","Unknown",""
"hoop art patterns","Unknown","Unknown","Unknown","30,842",""
"mindful mantra","Unknown","Unknown","Unknown","3,370",""
"mindful mantra embroidery","Unknown","Unknown","Unknown","Unknown",""
"modern art embroidery","< 20","Unknown","Unknown","42,619","100"
