"Keywords","Average Searches","Competition","KD","Tag Occurrences"
"book nook",6687,48228,"43","33"
"book ends",3445,17670,"36","2"
"book tracker",2173,44412,"66","2"
"elden ring",12189,5991,"1","1"
"lord of the rings",11469,32651,"23","2"
"project hail mary",10808,259,"1","1"
"magic the gathering",9980,29686,"24","1"
"dungeon crawler carl",9634,1729,"1","1"
"mtg",8910,44426,"35","1"
"bookends",8221,29841,"28","4"
"fourth wing",5864,31542,"37","4"
"headphone stand",5689,11893,"16","1"
"acotar",4987,49902,"50","2"
"world of warcraft",3896,4668,"4","1"
"throne of glass",2926,19959,"42","2"
"frankenstein",2895,40301,"57","1"
"paint by number",2764,23154,"46","1"
"acotar merch",2690,22008,"46","2"
"game of thrones",2685,17428,"41","1"
"paint by numbers",2481,15651,"40","1"
"procreate stamps",2168,39863,"63","1"
"bookend",2133,29840,"57","2"
