"Keywords","Average Searches","Competition","KD","Tag Occurrences"
"calm stitching",0,1808,"","0"
"stitching",6,1244043,"100","4"
"calm",3,266921,"100","8"
"slow stitching",5,9687,"100","2"
"mindful stitching",1,2472,"100","1"
"calm down",2,11914,"100","3"
"calm your tits",2,266,"100","3"
"all is calm",1,6994,"100","12"
"gift",58648,33152946,"100","3"
"christmas",41113,12791009,"100","4"
"home decor",31986,24385803,"100","3"
"art",25051,25562359,"100","1"
"candle",19412,1043531,"87","1"
"digital",18911,15954347,"100","1"
"embroidery",16297,2125420,"100","8"
"dog",16055,2453579,"100","2"
"housewarming gift",13596,1468837,"100","1"
"handmade",12870,5157929,"100","1"
"lego",10855,38952,"28","1"
"blue",9604,9202427,"100","1"
"green",9459,6901379,"100","2"
"christmas ornament",9166,2050300,"100","1"
"butterfly",8204,743970,"98","1"
"pdf",7714,2630555,"100","5"
"white",7380,13904130,"100","1"
"red",7345,6773065,"100","1"
"embroidery designs",7082,248390,"77","2"
"flowers",7105,4805134,"100","1"
"fathers day gift",6690,948759,"100","1"
"cross stitch",6505,781509,"100","30"
"cross stitch pattern",6173,630186,"100","38"
"stocking stuffer",6159,535836,"97","1"
"ghost",6158,1021805,"100","1"
"christmas gift",6008,7614738,"100","1"
"self care gift",5843,182328,"75","2"
"office decor",5858,3747670,"100","1"
"pet",5738,2016613,"100","1"
"funny",5403,6406715,"100","6"
"travel",5415,2105135,"100","2"
"scene",5311,630678,"100","1"
"moss",5153,122936,"69","1"
"sewing",4978,4913668,"100","3"
"watercolor",4805,2154311,"100","1"
"embroidery kit",4727,1087559,"100","1"
"beach",4721,2168378,"100","1"
"pattern",4565,5537618,"100","13"
"yoga",4228,353523,"96","1"
"stitch",4176,1299925,"100","1"
"winter",4104,2592210,"100","1"
"needlepoint",4014,527364,"100","4"
"excel",3972,47991,"54","1"
"office",3555,4417997,"100","3"
"spreadsheet",3490,53758,"59","2"
"wine",3433,541079,"100","1"
"cross stitch kit",3305,527165,"100","3"
"needle minder",3246,29016,"48","2"
"cars",3287,1472862,"100","1"
"meditation",2825,356862,"100","1"
"embroidery design",2593,809610,"100","2"
"seasonal decor",2593,2562389,"100","1"
"embroidery pattern",2555,1214149,"100","8"
"map",2539,585826,"100","1"
"diy",2378,2285747,"100","2"
"snowman",2368,370320,"100","1"
"kitchen wall decor",2271,2545262,"100","1"
"cottagecore decor",2106,427700,"100","1"
"lighthouse",2101,70752,"76","1"
"pets",1864,2016357,"100","1"
"holiday",1798,5584062,"100","1"
"design",1660,9503438,"100","2"
"spooky",1574,1775069,"100","1"
"teddy bear pattern",1490,25390,"62","1"
"women",1497,18852586,"100","1"
"dog lover gift",1445,795623,"100","1"
"gag gift",1353,211147,"100","1"
"funny cross stitch",1326,55123,"81","7"
"boobs",1264,14661,"53","1"
"nature wall art",1268,808417,"100","1"
"mini cross stitch",1207,30092,"70","3"
"fuck",1202,149795,"100","1"
"stick and stitch",1166,9591,"46","1"
"counted cross stitch",1098,216630,"100","13"
"peel and stick",1098,120615,"100","1"
"animal",1082,4820643,"100","2"
"fall wall art",1091,587040,"100","1"
