"Keywords","Average Searches","Competition","KD","Tag Occurrences"
"candles for her",1,131520,"100","4"
"valentine candles for her",1,"-","","0"
"funny candles for her",1,46605,"100","0"
"unique candles for her",1,"-","","0"
"21st birthday candles for her",1,"-","","0"
"70 bday cake candles for her",1,"-","","0"
"funny candles",798,129529,"100","3"
"scented candles",796,275474,"100","3"
"unique candles",407,81513,"100","1"
"holiday candles",233,103638,"100","1"
"natural candles",8,71711,"100","3"
"sassy candles",5,4239,"100","1"
"sister candles",3,16283,"100","3"
"anniversary candles",3,33863,"100","1"
"gifts for her",20252,5405483,"100","1"
"gift for her",15579,5409638,"100","18"
"valentines for her",243,373216,"100","1"
"candle for her",2,129766,"100","65"
"funny for her",1,693630,"100","1"
"birthday for her",9,1335790,"100","1"
"self care candles",2,27046,"100","3"
"funny quote candles",2,7638,"100","1"
"best scented candles",1,23243,"100","2"
"eco friendly candles",1,40832,"100","1"
"best gifts for her",7863,276341,"77","2"
"custom gift for her",327,776206,"100","1"
"funny gift for her",3,727577,"100","4"
"xmas gift for her",2,148153,"100","2"
"love gift for her",2,470010,"100","1"
"candle gift for her",1,127704,"100","1"
"for him",1358,2275911,"100","1"
"for besties",1,53923,"100","1"
"graduation gift her",5,122432,"100","1"
"birthday gift her",5,1292997,"100","1"
"gift for him",13101,2176606,"100","1"
"gift for mom",7459,3484179,"100","4"
"gifts for girlfriend",4393,521813,"100","1"
"gifts for wife",2108,693680,"100","3"
"gift for wife",1803,694866,"100","3"
"gift for grandma",1303,549864,"100","2"
"gift for women",1117,10570501,"100","1"
"gift for girlfriend",858,523039,"100","5"
"gift for sister",862,463174,"100","2"
"gift for friend",762,1075325,"100","4"
"gift for friends",696,593267,"100","1"
"gift for coworker",326,354873,"100","1"
"gift for daughter",254,476366,"100","3"
"gift for writer",242,80257,"100","1"
"gift for teacher",198,1486040,"100","1"
"gift for gamers",126,1356623,"100","1"
"candle for mom",49,55362,"100","3"
"gift for bff",46,83313,"100","1"
"candle for friend",2,62093,"100","7"
"candle for sister",1,16158,"100","6"
"candle for him",3,46425,"100","3"
"gift for musicians",1,87137,"100","3"
"gift for birthday",3,6255214,"100","1"
"gift for cancer",1,120028,"100","1"
"candle for teacher",1,19369,"100","1"
"gift for bestie",3,109889,"100","1"
"gift for cooks",2,60362,"100","1"
"unique gifts for him",1845,338425,"100","2"
"gift for best friend",1242,430729,"100","4"
"funny gift for him",5,467307,"100","1"
"best gift for friend",1,423501,"100","3"
"gift for new couple",1,54847,"100","1"
"personalized gift",41355,5573446,"100","4"
"home decor",31986,24385803,"100","1"
"wedding",25275,5183896,"100","1"
"fall decor",21523,1113239,"86","1"
"candle",19412,1043531,"87","1"
"valentines day gift",15798,976304,"90","4"
"halloween decor",14033,1317768,"99","1"
"anniversary gift",13749,1692772,"100","10"
"housewarming gift",13596,1468837,"100","5"
"book lover gift",13420,537834,"80","1"
"birthday gift",11429,6286682,"100","6"
"wedding gift",11420,2719345,"100","2"
"mothers day gift",10407,1873149,"100","2"
"engagement gift",9858,679620,"92","1"
"birthday gifts",8350,6286807,"100","1"
"graduation gift",6868,780587,"100","1"
"stocking stuffer",6159,535836,"97","1"
"christmas gift",6008,7614738,"100","3"
"self care gift",5843,182328,"75","2"
"fourth wing",5864,31542,"37","1"
"anniversary gifts",5603,1692762,"100","1"
"baby announcement",5482,649496,"100","1"
"valentines day",5100,1709590,"100","2"
"best friend gifts",4711,431466,"98","3"
"boyfriend gift",4189,371080,"97","1"
"best friend gift",4148,430257,"100","7"
"home decor gift",3928,8722181,"100","1"
"bridal shower gift",3891,438663,"100","1"
"mom gift",3768,3488374,"100","1"
"bridesmaid proposal",3544,86281,"69","1"
"kitchen decor",3356,4401800,"100","1"
"valentine gift",3254,1227386,"100","1"
"unique gifts",2979,2965109,"100","1"
"bridesmaid gift",2741,573517,"100","2"
"teacher appreciation",2591,451989,"100","1"
"couple gift",2505,749490,"100","1"
"best seller",2469,143272,"88","1"
"holiday decor",2438,2269035,"100","1"
"funny gifts",2373,4491886,"100","1"
"thank you gifts",2378,450751,"100","1"
"mom birthday gift",2350,901910,"100","1"
"retirement gift",2260,217374,"99","1"
"50th birthday gift",2228,59011,"71","2"
"40th birthday gift",1865,58327,"75","2"
"30th birthday gift",1707,57185,"76","1"
"personalised gift",1683,5573408,"100","3"
"funny gift",1425,4477547,"100","6"
"valentines gift",1417,1227354,"100","2"
"alan wake",1372,347,"1","1"
"gag gift",1353,211147,"100","3"
"diy gift",1213,670056,"100","4"
"couples gift",1215,748149,"100","3"
"wife birthday gift",1153,221916,"100","1"
"white elephant gift",1178,84987,"93","1"
"christmas candle",1105,207978,"100","3"
"thank you gift",1070,451014,"100","2"
"sister in law gift",1034,20007,"64","5"
"custom name",1043,1977505,"100","1"
"sister gift",954,462913,"100","3"
"friendship",974,1487165,"100","1"
"cancer gift",976,128973,"100","1"
"girlfriend gift",935,523308,"100","5"
"hostess gift",913,239134,"100","2"
"personalized candle",884,88817,"100","20"
"custom candle",882,95857,"100","10"
"soy candle",783,396126,"100","13"
"gift ideas",799,2690729,"100","2"
"dirty martini",791,15540,"65","1"
"customized",736,8796368,"100","1"
"sister birthday gift",698,185270,"100","4"
"yoga gift",723,171015,"100","2"
"wife gift",711,693806,"100","2"
"friendship gift",676,742930,"100","3"
"aka",622,20944,"76","1"
"bookish gift",608,374362,"100","1"
"wonder woman",610,17028,"72","1"
"coworker gift",573,355309,"100","4"
"true crime",588,29374,"85","1"
"sarcastic gifts",575,456587,"100","1"
"fantasy decor",493,591337,"100","1"
"christmas present",468,460616,"100","5"
"smells like candle",479,38965,"96","2"
"funny candle",403,130039,"100","25"
"holiday gift",418,3250787,"100","4"
"galentines day",426,47974,"100","1"
"flower candle",409,43558,"100","1"
"thinking of you",392,66738,"100","5"
"candle gift",339,538506,"100","7"
"self care gifts",325,178978,"100","3"
"bff gifts",319,82103,"100","1"
"teen girl gift",320,121294,"100","1"
"therapist gifts",335,132547,"100","1"
"bachelorette gift",337,436432,"100","1"
"funny mom gift",353,681675,"100","1"
"wedding candle",322,73158,"100","1"
"handmade candle",305,119156,"100","5"
"mothers day candle",303,41900,"100","4"
"wellness gifts",268,134062,"100","3"
"aka paraphernalia",235,1246,"36","1"
"halloween candle",241,58120,"100","1"
"sister birthday",240,207838,"100","1"
"anniversary present",233,101857,"100","1"
"friend birthday gift",238,392011,"100","1"
"stress relief gifts",201,36746,"100","2"
"teacher candle",196,20140,"100","2"
"relaxation gifts",195,115388,"100","1"
"appreciation gift",201,731390,"100","1"
"funny mothers day",194,264476,"100","1"
"hand made candle",188,13309,"92","1"
"stress relief gift",207,39014,"100","1"
"bridesmaid candle",158,11328,"93","4"
"african american",150,179733,"100","1"
"valentine candle",169,33973,"100","1"
"farmhouse kitchen",177,748055,"100","1"
"mindfulness gift",135,113051,"100","3"
"9 oz candle",142,76513,"100","3"
"musician gifts",106,88033,"100","3"
"encouragement gift",105,84696,"100","1"
"expresso martini",139,990,"43","1"
"romantic gift",112,254327,"100","1"
"sister wedding gift",146,41930,"100","1"
"engagement candle",143,10738,"94","1"
"bestie candle",127,10104,"95","1"
"floral candle",90,54507,"100","4"
"birthday christmas",103,2795741,"100","3"
"soy candle gifts",87,277743,"100","3"
"unique candle",90,81871,"100","2"
"orange blossom",90,14641,"100","1"
"candle custom",81,94935,"100","1"
"natural candle",101,71616,"100","1"
"romantasy gift",101,26484,"100","1"
"be my valentine",96,100807,"100","1"
"funny valentines",94,170063,"100","1"
"galentines gift",103,38517,"100","1"
"horror gift",63,232482,"100","1"
"july birthday",97,54647,"100","1"
"muscle mommy",93,3276,"77","1"
"minimalist gift",93,1822525,"100","1"
"superhero gifts",87,58759,"100","1"
"soy wax candle",23,157405,"100","12"
"funny candle gift",48,124241,"100","9"
"scented candle",54,275667,"100","6"
"scented soy candle",48,197402,"100","5"
"birthday gift sister",31,205954,"100","3"
"luxury candle",23,24178,"100","1"
"gift from daughter",44,101668,"100","1"
"mini candle",22,16647,"100","1"
"candle favor",45,34787,"100","1"
"40th birthday party",23,62533,"100","1"
"violet sorrengail",50,8330,"100","1"
"birthday gift custom",44,1204136,"100","1"
"wedding party gift",26,817160,"100","1"
"wedding thank you",48,99091,"100","1"
"football fan gift",21,158125,"100","1"
"smells like",46,41932,"100","1"
"birthday decoration",36,574796,"100","1"
"novelty candle",45,9722,"100","1"
"friend candle",44,59102,"100","1"
"birthday candle",15,156668,"100","9"
"best friend candle",9,30193,"100","9"
"funny birthday gift",8,865533,"100","6"
"custom name candle",1,10673,"100","5"
"milestone birthday",3,104300,"100","4"
"housewarming candle",2,87885,"100","4"
"unique gift idea",2,517251,"100","4"
"love candle",13,45258,"100","4"
"personalized holiday",1,466828,"100","4"
"gift candle",3,537057,"100","3"
"best friends candle",1,4071,"100","3"
"anniversary candle",6,34062,"100","3"
"quote candle",19,12002,"100","3"
"50th birthday candle",8,2366,"100","3"
"sister candle",16,16127,"100","3"
"funny sister gift",4,77305,"100","3"
"step sister gift",3,3036,"100","3"
"beautiful candle",2,6368,"100","3"
"thank you candle",5,25342,"100","3"
"friend candle gift",1,58272,"100","3"
"christmas soy candle",3,80704,"100","3"
"soy candle gift",1,290661,"100","3"
"9oz soy candle",1,68216,"100","3"
"self love gifts",3,102154,"100","3"
"fun candle",2,16222,"100","3"
"funny birthday",9,1012000,"100","2"
"special candle",1,5667,"100","2"
"best girlfriend gift",3,69974,"100","2"
"travel candle",4,9147,"100","2"
"besties gift",3,45114,"100","2"
"hand poured candle",1,57350,"100","2"
"valentines candle",2,33710,"100","2"
"galentines candle",2,1631,"100","2"
"party favor candle",5,22502,"100","2"
"best friend present",2,31858,"100","2"
"birthday gift idea",1,603221,"100","2"
"selfcare gift",2,49732,"100","2"
"yoga lover",4,35180,"100","2"
"romantic candle",1,17159,"100","2"
"aesthetic candle",5,16406,"100","2"
"empowerment gifts",1,109809,"100","2"
"rugby gift",3,5412,"100","2"
"custom funny",3,489107,"100","2"
"rugby player",18,2837,"100","2"
"rugby mom",5,1376,"100","2"
"friend sister",3,151025,"100","2"
"rugby ornament",3,297,"100","2"
"february birthday",3,21718,"100","2"
"sarcastic candle",3,14862,"100","2"
"best friend birthday",10,197526,"100","2"
"family xmas gift",1,361530,"100","2"
"new sister in law",1,2660,"100","2"
"funny xmas gift",2,337169,"100","2"
"intention candle",1,10232,"100","2"
"cozy home",9,809813,"100","1"
"cute candle",18,34795,"100","1"
"humorous candle",2,6838,"100","1"
"gag gift candle",2,17587,"100","1"
"prosecco gifts",1,3685,"100","1"
"galentine candle",1,3145,"100","1"
"witty candle",1,2390,"100","1"
"birthday present",7,438597,"100","1"
