"Keywords","Average Searches","Competition","KD","Tag Occurrences"
"home decor",31986,24385803,"100","1"
"vintage",22818,16836528,"100","1"
"digital download",16843,8592990,"100","4"
"embroidery",16297,2125420,"100","2"
"gift for her",15579,5409638,"100","2"
"halloween decor",14033,1317768,"99","1"
"sewing patterns",12808,2482733,"100","1"
"stocking stuffers",12539,536732,"82","1"
"mothers day gift",10407,1873149,"100","1"
"black",8805,12353628,"100","1"
"embroidery designs",7082,248390,"77","4"
"cross stitch",6505,781509,"100","2"
"cross stitch pattern",6173,630186,"100","12"
"cardigan",5757,123431,"67","1"
"mom gifts",5400,3476656,"100","1"
"baby shower gift",5112,1391561,"100","1"
"embroidered shirt",4978,287771,"88","1"
"wedding veil",4898,35319,"43","1"
"custom sweatshirt",4788,535932,"100","1"
"embroidery kit",4727,1087559,"100","2"
"rainbow",4382,2049055,"100","2"
"iron on patch",4357,147875,"77","2"
"summer",4330,2410914,"100","2"
"table runner",4293,108135,"70","1"
"embroidery files",3908,616109,"100","4"
"abstract wall art",3883,1308572,"100","1"
"wall hanging",3855,631413,"100","1"
"retro",3570,4331409,"100","1"
"embroidery patterns",3503,1210858,"100","1"
"cross stitch kit",3305,527165,"100","1"
"abstract art",3294,1615168,"100","1"
"kitchen wall art",3096,2310959,"100","3"
"embroidered hat",3055,272885,"98","1"
"whimsical decor",2828,472313,"100","1"
"tree of life",2700,130927,"84","1"
"tie",2659,738353,"100","1"
"embroidery design",2593,809610,"100","18"
"embroidery pattern",2555,1214149,"100","20"
"living room decor",2553,5645362,"100","1"
"applique",2453,625306,"100","1"
"kitchen wall decor",2271,2545262,"100","3"
"cherry blossom",2264,92135,"80","1"
"dark academia decor",2236,122385,"87","2"
"handmade gift",2232,2462067,"100","1"
"boho dress",2220,98216,"82","1"
"book mark",2198,28504,"56","1"
"black wedding dress",2028,28850,"58","1"
"lace wedding dress",1888,34296,"63","1"
"beach decor",1883,924279,"100","1"
"embroidery file",1800,616122,"100","3"
"top",1759,2721197,"100","1"
"custom embroidery",1737,188070,"100","2"
"colorful wall art",1598,624633,"100","3"
"craft supplies",1569,11359153,"100","1"
"custom iphone case",1433,55762,"80","1"
"gothic wedding dress",1423,2525,"12","1"
"cat cross stitch",1422,33072,"68","1"
"vest",1306,115768,"97","1"
"machine embroidery",1257,659837,"100","23"
"mini cross stitch",1207,30092,"70","1"
"adult coloring pages",1135,148396,"100","1"
"counted cross stitch",1098,216630,"100","7"
"adult coloring book",1049,115927,"100","1"
"black history",1036,127307,"100","2"
"cinco de mayo",953,100618,"100","1"
"personalized tshirt",922,743432,"100","1"
"lace curtains",918,3309,"28","2"
"hostess gift",913,239134,"100","1"
"travel wall art",878,697381,"100","1"
"womens sweatshirt",792,3629754,"100","1"
"bird cross stitch",783,27878,"78","1"
"lace trim",763,97885,"100","2"
"table decor",752,715166,"100","1"
"summer dress",734,104486,"100","2"
"diy craft",734,1499330,"100","1"
"ice cream",733,138085,"100","1"
"machine embroidery design",726,545031,"100","3"
"palestine phone case",718,779,"2","1"
"custom text shirt",690,53248,"94","1"
"camper decor",682,43459,"90","1"
"white blouse",671,35974,"86","1"
"cute bookmarks",661,47878,"93","1"
"lace fabric",657,119450,"100","2"
"textile art",635,75815,"100","1"
"halloween embroidery",630,129398,"100","1"
"mexican dress",621,9476,"59","1"
"house dress",598,10387,"62","1"
"butterfly art",585,253905,"100","1"
"woodland animals",583,220041,"100","1"
"embroidered patches",577,137286,"100","2"
"hand embroidery",564,183497,"100","4"
"sewing machine",558,636695,"100","1"
"free shipping",556,480565,"100","3"
"vintage belt",531,99278,"100","1"
"embroidery floss",507,38796,"94","1"
"rainbow baby",446,168616,"100","1"
"needlepoint pattern",444,297887,"100","2"
"instant download",440,3673189,"100","13"
"gothic cross stitch",432,14591,"76","1"
"floral dress",426,144413,"100","1"
"adult craft kit",415,55349,"100","2"
"hungry caterpillar",413,4381,"51","1"
"table centerpiece",398,140978,"100","1"
"home sweet home",396,249179,"100","1"
"goth wedding dress",339,1115,"26","1"
"small cross stitch",338,37309,"100","1"
"dog embroidery",334,62932,"100","1"
"baseball mom hat",327,41736,"100","1"
"teddy bear shirt",311,17453,"87","1"
"bridal capelet",303,1225,"30","1"
"womens dress",295,515627,"100","1"
"pet embroidery",293,38934,"100","2"
"honey pot",288,8110,"72","1"
"autumn cross stitch",243,24681,"100","1"
"modern cross stitch",233,152370,"100","9"
"baby embroidery design",228,73439,"100","1"
"cross stitch sampler",221,56272,"100","1"
"catholic embroidery",217,3178,"58","1"
"fsl embroidery",215,8369,"80","1"
"digital pattern",211,1645527,"100","1"
"gift for woman",208,10528671,"100","1"
"god mother gift",203,18393,"98","1"
"easter embroidery design",198,29743,"100","1"
"floral cross stitch",198,66010,"100","4"
"pet lover gift",193,669754,"100","1"
"frida kahlo",173,17525,"100","1"
"embroidery art",152,414224,"100","1"
"cute cross stitch",148,72374,"100","1"
"bob mackie",146,1295,"47","1"
"embroidered wall art",141,25244,"100","1"
"embroidered blouse",135,15949,"100","2"
"boho blouse",134,31144,"100","1"
"snapback hat",133,89212,"100","1"
"pet cross stitch",131,10457,"95","1"
"fall embroidery",124,82506,"100","1"
"varsity sweatshirt",121,29111,"100","1"
"flower embroidery",120,192456,"100","6"
"digital design",120,4186032,"100","1"
"funny embroidery",109,109310,"100","1"
"butterfly embroidery",108,28079,"100","5"
"hippie wedding dress",108,13508,"100","1"
