"Keywords","Average Searches","Competition","KD","Tag Occurrences"
"dark academia",4731,200106,"81","44"
"dark academia decor",2236,122385,"87","7"
"dark academia clothing",1022,36467,"78","0"
"dark academia art",993,119223,"100","10"
"dark academia wallpaper",591,2482,"31","0"
"dark academia prints",299,91933,"100","1"
"dark academia curtains",297,1963,"41","0"
"dark academia gifts",253,82501,"100","1"
"dark academia jewelry",244,6652,"72","0"
"dark academia accessories",229,17249,"94","0"
"dark academia dress",228,1475,"41","0"
"dark academia poster",226,31594,"100","0"
"dark academia rug",195,1100,"38","0"
"dark academia sticker",133,4447,"76","0"
"dark academia print",113,92386,"100","1"
"dark academia stickers",111,4371,"80","0"
"dark academia shirt",109,31185,"100","22"
"dark academia tapestry",103,5726,"87","0"
"dark academia logo",101,"-","","0"
"dark academia christmas",98,15324,"100","0"
"dark academia shelving",93,"-","","0"
"dark academia dres",84,"-","","0"
"dark academia painting",48,47750,"100","0"
"blazer dark academia",43,"-","","0"
"mystery dark academia",43,"-","","0"
"dark academia cap",43,1177,"72","0"
"dark academia pin",43,778,"63","0"
"dark academia clothes",34,5951,"100","0"
"stickers dark academia",33,3093,"99","0"
"dark academia png",33,6080,"100","0"
"dark academia sweater",28,6338,"100","0"
"dark academia blazer",26,658,"70","0"
"dark academia skirt",23,1062,"83","0"
"dark academia ties",22,324,"58","0"
"dark academia printables",20,41071,"100","0"
"bug dark academia",18,"-","","0"
"dark academia tops",18,17240,"100","0"
"dark academia wedding",10,2985,"100","0"
"dark academia socks",10,72,"43","0"
"dark academia keyboard",10,1602,"100","0"
"dark academia brooch",10,318,"75","0"
"dark academia bag",9,10683,"100","0"
"dark academia bookmark",8,2252,"100","0"
"dark academia bedding",8,4048,"100","0"
"dark academia planner",8,2289,"100","0"
"curtains dark academia",8,1267,"100","0"
"dark academia notebook",7,2978,"100","0"
"dark academia furniture",7,374,"86","0"
"dark academia purse",7,7918,"100","0"
"dark academia clipart",7,2914,"100","0"
"dark academia gift",6,82449,"100","3"
"dark academia wallet",6,377,"90","0"
"dark academia kitchen",6,29256,"100","0"
"dark academia blanket",6,6318,"100","0"
"dark academia journal",6,8507,"100","0"
"dark academia tote",6,3317,"100","0"
"dark academia glasses",6,744,"100","0"
"dark academia stationery",6,9603,"100","0"
"dark academia fashion",6,4857,"100","0"
"dark academia earrings",6,1847,"100","0"
"dark academia candle",6,5144,"100","0"
"dark academia headboard",6,"-","","0"
"dark academia suit",6,963,"100","0"
"dark academia sweatshirt",5,12277,"100","0"
"dark academia pants",5,479,"99","0"
"dark academia necklace",5,2183,"100","0"
"dark academia notion",5,109,"67","0"
"dark academia bedset",5,"-","","0"
"dark academia outfit",5,2362,"100","0"
"art dark academia",5,88381,"100","0"
"dark academia lamp",5,313,"90","0"
"dark academia bags",5,8456,"100","0"
"dark academia paint",4,3256,"100","0"
"dark academia artwork",4,9510,"100","0"
"dark academia lighting",4,"-","","0"
"dark academia blankets",4,4781,"100","0"
"wallpaper dark academia",4,2046,"100","0"
"dark academia stationary",4,485,"100","0"
"dark academia digital",4,71306,"100","0"
"dark academia printable",4,38284,"100","0"
"dark academia case",4,5046,"100","0"
"dark academia portrait",3,15395,"100","0"
"dark academia aesthetic",3,48270,"100","0"
"dark academia bookmarks",3,2165,"100","0"
"dark academia style",3,16964,"100","3"
"dark academia blouse",3,405,"100","0"
"dark academia bundle",3,3291,"100","1"
"dark academia keychain",3,199,"91","0"
"dark academia books",3,9930,"100","0"
"dark academia rings",3,2069,"100","0"
"dark academia duvet",3,121,"80","0"
"dark academia witch",3,16807,"100","0"
"vintage dark academia",3,90602,"100","0"
"dark academia sign",3,2028,"100","0"
"dark academia bathroom",3,13883,"100","0"
"dark academia hoodie",3,3668,"100","3"
"dark academia comforter",3,99,"76","0"
"dark academia trinkets",3,196,"91","0"
"dark academia office",3,33941,"100","0"
"dark academia fox",3,1374,"100","0"
