"Keywords","Average Searches","Competition","KD","Tag Occurrences"
"hand embroidery abstract",0,2452,"","0"
"hand embroidery abstract patterns",2,"-","","0"
"abstract",368,1969232,"100","6"
"hand embroidery",564,183497,"100","50"
"abstract embroidery",3,23107,"100","32"
"embroidery",16297,2125420,"100","10"
"hand embroidery kit",8,65817,"100","1"
"hand embroidery pdf",3,56197,"100","5"
"hand embroidery art",3,61279,"100","2"
"hand painted",196,769472,"100","2"
"hand drawn",15,396192,"100","2"
"hand sewn",8,22922,"100","1"
"hand stitched",3,134334,"100","3"
"hand knotted",1,79291,"100","3"
"hand drawing",1,184851,"100","1"
"abstract art",3294,1615168,"100","10"
"abstract portrait",46,140367,"100","2"
"abstract lines",21,19233,"100","1"
"abstract flowers",8,244282,"100","3"
"abstract landscape",8,228182,"100","2"
"abstract floral",8,191867,"100","2"
"abstract decor",5,1414892,"100","1"
"abstract fabric",7,86664,"100","1"
"abstract pattern",3,167327,"100","7"
"pink abstract",3,234813,"100","1"
"modern abstract",3,609270,"100","1"
"abstract shapes",3,57563,"100","1"
"abstract botanicals",3,74313,"100","1"
"abstract cat",3,27385,"100","1"
"abstract woman",1,209895,"100","2"
"abstract ornament",1,13518,"100","1"
"hand drawn art",3,271064,"100","1"
"hand stitch design",1,26898,"100","2"
"hand stitch pattern",1,57021,"100","1"
"abstract wall art",3883,1308572,"100","1"
"abstract wall decor",40,1314354,"100","1"
"abstract floral art",10,150236,"100","1"
"abstract line art",6,84786,"100","2"
"abstract bird art",7,21803,"100","1"
"abstract woman art",6,104595,"100","1"
"abstract face art",6,35192,"100","1"
"abstract green art",3,203921,"100","1"
"embroidery designs",7082,248390,"77","7"
"embroidery fonts",3928,46786,"54","1"
"embroidery files",3908,616109,"100","1"
"embroidery patterns",3503,1210858,"100","5"
"embroidery design",2593,809610,"100","19"
"embroidery pattern",2555,1214149,"100","41"
"embroidery file",1800,616122,"100","3"
"machine embroidery",1257,659837,"100","7"
"halloween embroidery",630,129398,"100","1"
"valentine embroidery",292,64646,"100","1"
"embroidery hoop",196,162947,"100","5"
"cat embroidery",193,63889,"100","2"
"embroidery art",152,414224,"100","7"
"flower embroidery",120,192456,"100","6"
"fall embroidery",124,82506,"100","1"
"sun embroidery",108,13465,"100","1"
"embroidery template",93,72304,"100","11"
"bird embroidery",91,51068,"100","1"
"embroidery bag",61,59843,"100","1"
"bow embroidery",53,66082,"100","1"
"hoodie embroidery",46,29140,"100","1"
"embroidery bundle",26,40413,"100","2"
"beginner embroidery",20,83716,"100","11"
"digital embroidery",23,448604,"100","4"
"wings embroidery",24,5035,"100","1"
"flag embroidery",20,26127,"100","1"
"floral embroidery",13,216896,"100","10"
"embroidery download",11,515776,"100","3"
"monogram embroidery",13,92360,"100","2"
"aesthetic embroidery",13,9718,"100","1"
"modern embroidery",5,158741,"100","28"
"embroidery pdf",7,331713,"100","13"
"simple embroidery",4,37085,"100","5"
"doodle embroidery",8,11956,"100","3"
"autumn embroidery",8,52253,"100","2"
"summer embroidery",4,75960,"100","2"
"botanical embroidery",5,20955,"100","2"
"framed embroidery",8,49094,"100","1"
"rainbow embroidery",4,44324,"100","1"
"wedding embroidery",8,79785,"100","1"
"embroidery wreath",4,29272,"100","1"
"3d embroidery",8,27029,"100","1"
"embroidery gift",5,505731,"100","1"
"initial embroidery",7,16232,"100","1"
"landscape embroidery",3,23237,"100","7"
"diy embroidery",3,143767,"100","5"
"pdf embroidery",3,277669,"100","5"
"boho embroidery",1,52500,"100","4"
"embroidery tutorial",3,73176,"100","4"
"beginners embroidery",3,65906,"100","3"
"nature embroidery",3,50352,"100","3"
"embroidery outline",1,22019,"100","3"
"hands embroidery",1,180550,"100","3"
"easy embroidery",2,95636,"100","3"
"mountains embroidery",1,12721,"100","2"
"embroidery girl",1,148330,"100","2"
"creative embroidery",1,13401,"100","2"
"outline embroidery",1,23254,"100","2"
"embroidery digital",1,325099,"100","2"
"portrait embroidery",2,13464,"100","2"
"colorful embroidery",1,37062,"100","2"
"geometric embroidery",2,26266,"100","2"
"star embroidery",2,31001,"100","1"
"mountain embroidery",3,13143,"100","1"
"retro embroidery",1,43999,"100","1"
"bohemian embroidery",1,14056,"100","1"
"girl embroidery",3,150859,"100","1"
"garden embroidery",1,42094,"100","1"
"eye embroidery",1,7819,"100","1"
"fantasy embroidery",2,19363,"100","1"
"jacket embroidery",1,27269,"100","1"
"artistic embroidery",1,2275,"100","1"
"love embroidery",3,79080,"100","1"
"couple embroidery",2,14989,"100","1"
"ocean embroidery",3,21042,"100","1"
"alphabet embroidery",3,36489,"100","1"
"textured embroidery",1,8432,"100","1"
"leaf embroidery",3,33210,"100","1"
"embroidery guide",1,7976,"100","1"
"line embroidery",3,24531,"100","1"
"redwork embroidery",1,8534,"100","1"
"flowers embroidery",3,193109,"100","1"
"woman embroidery",1,199742,"100","1"
"advanced embroidery",2,2797,"100","1"
"whimsical embroidery",2,18928,"100","1"
"witchy embroidery",3,11755,"100","1"
"pes embroidery file",6,132542,"100","1"
"folk art embroidery",6,11224,"100","1"
"embroidery hoop art",5,58544,"100","1"
"line art embroidery",3,10848,"100","7"
"tea towel embroidery",3,23310,"100","1"
"diy embroidery kit",3,106036,"100","1"
"boho embroidery file",2,6488,"100","1"
"tote bag embroidery",2,13088,"100","1"
"embroidery file pes",2,105407,"100","1"
"one line embroidery",1,2142,"100","2"
"iron on embroidery",1,48792,"100","1"
"wall art",53423,15248319,"100","3"
"home decor",31986,24385803,"100","4"
"wall decor",19423,16572292,"100","4"
"tote bag",16918,742437,"82","1"
"tapestry",16914,378813,"68","1"
"digital download",16843,8592990,"100","11"
"fabric",16384,2605846,"100","1"
"housewarming gift",13596,1468837,"100","1"
"wedding gift",11420,2719345,"100","2"
"pink",9658,7059266,"100","1"
"sewing pattern",8932,2557962,"100","2"
"printable wall art",8523,2760314,"100","1"
"quilt",7696,2346858,"100","1"
"cross stitch",6505,781509,"100","3"
"cross stitch pattern",6173,630186,"100","11"
"mid century modern",5443,368544,"92","2"
"do it yourself",5066,44548,"47","1"
"pattern",4565,5537618,"100","3"
"linen",4552,836915,"100","1"
"tree",4505,3120775,"100","2"
"rainbow",4382,2049055,"100","2"
"summer",4330,2410914,"100","1"
"needlepoint",4014,527364,"100","2"
"home decor gift",3928,8722181,"100","1"
"wall hanging",3855,631413,"100","2"
"upholstery fabric",3840,263509,"92","2"
"cotton fabric",3593,1047482,"100","2"
"trending now",3390,48550,"58","1"
"floral",3262,5522351,"100","1"
