"Keywords","Average Searches","Competition","KD","Tag Occurrences"
"modern hand embroidery",1,21911,"100","1"
"modern hand embroidery patterns",6,19876,"100","0"
"modern hand embroidery patterns wedding",1,"-","","0"
"modern",285,3152640,"100","5"
"modern embroidery",5,158741,"100","75"
"hand embroidery",564,183497,"100","68"
"modern decor",513,1904467,"100","1"
"modern pattern",1,333281,"100","1"
"hand embroidered",25,108619,"100","2"
"hand sewing",5,214045,"100","1"
"hand stitch",3,128360,"100","1"
"hand stitched",3,134334,"100","1"
"hand embroidery pattern",755,91791,"100","3"
"hand embroidery designs",433,12263,"73","3"
"hand embroidery kit",8,65817,"100","8"
"hand embroidery pdf",3,56197,"100","13"
"hand embroidery art",3,61279,"100","1"
"diy hand embroidery",1,28162,"100","2"
"embroidery",16297,2125420,"100","6"
"hand embroidery patterns pdf",4,46981,"100","3"
"modern cross stitch",233,152370,"100","2"
"embroidery designs",7082,248390,"77","4"
"embroidery kit",4727,1087559,"100","10"
"embroidery patterns",3503,1210858,"100","4"
"embroidery kits",2918,1071034,"100","1"
"embroidery design",2593,809610,"100","11"
"embroidery pattern",2555,1214149,"100","52"
"halloween embroidery",630,129398,"100","1"
"christmas embroidery",618,351284,"100","1"
"embroidery sweater",244,59519,"100","1"
"embroidery hoop",196,162947,"100","4"
"cat embroidery",193,63889,"100","2"
"embroidery art",152,414224,"100","3"
"embroidery sampler",146,29948,"100","3"
"flower embroidery",120,192456,"100","5"
"butterfly embroidery",108,28079,"100","1"
"snarky embroidery",108,10705,"100","1"
"easter embroidery",104,62090,"100","1"
"embroidery template",93,72304,"100","4"
"bird embroidery",91,51068,"100","2"
"letter embroidery",48,25756,"100","1"
"sarcastic embroidery",47,8053,"100","1"
"rose embroidery",35,36083,"100","1"
"beginner embroidery",20,83716,"100","33"
"digital embroidery",23,448604,"100","2"
"floral embroidery",13,216896,"100","13"
"embroidery download",11,515776,"100","5"
"embroidery letter",13,24613,"100","1"
"embroidery pdf",7,331713,"100","20"
"blackwork embroidery",5,7954,"100","6"
"botanical embroidery",5,20955,"100","5"
"simple embroidery",4,37085,"100","3"
"animal embroidery",5,150359,"100","3"
"spring embroidery",5,56512,"100","2"
"printable embroidery",4,36799,"100","2"
"crewel embroidery",8,85897,"100","2"
"cactus embroidery",5,6123,"100","2"
"gothic embroidery",7,21450,"100","2"
"elephant embroidery",6,9883,"100","1"
"vintage embroidery",7,214996,"100","1"
"shark embroidery",5,3102,"100","1"
"cocktail embroidery",7,6116,"100","1"
"initial embroidery",7,16232,"100","1"
"woodland embroidery",4,17320,"100","1"
"bear embroidery",8,29738,"100","1"
"daisy embroidery",5,15330,"100","1"
"embroidery gift",5,505731,"100","1"
"3d embroidery",8,27029,"100","1"
"autumn embroidery",8,52253,"100","1"
"summer embroidery",4,75960,"100","1"
"celestial embroidery",8,7921,"100","1"
"skull embroidery",6,21976,"100","1"
"bee embroidery",9,17007,"100","1"
"wedding embroidery",8,79785,"100","1"
"rude embroidery",4,2779,"100","1"
"snowflake embroidery",7,14673,"100","1"
"rainbow embroidery",4,44324,"100","1"
"diy embroidery",3,143767,"100","16"
"easy embroidery",2,95636,"100","11"
"embroidery tutorial",3,73176,"100","4"
"beginners embroidery",3,65906,"100","3"
"flowers embroidery",3,193109,"100","3"
"pdf embroidery",3,277669,"100","3"
"boho embroidery",1,52500,"100","3"
"pattern embroidery",2,1046944,"100","3"
"beautiful embroidery",3,14592,"100","3"
"embroidery guide",1,7976,"100","2"
"embroidery project",3,48957,"100","2"
"nature embroidery",3,50352,"100","2"
"whale embroidery",3,4076,"100","2"
"tv embroidery",1,3861,"100","2"
"geometric embroidery",2,26266,"100","2"
"hoop embroidery",1,159516,"100","2"
"zodiac embroidery",2,5485,"100","2"
"lizard embroidery",1,938,"100","1"
"embroidery ideas",3,28466,"100","1"
"bicycle embroidery",2,1937,"100","1"
"landscape embroidery",3,23237,"100","1"
"embroidery projects",3,41778,"100","1"
"learn embroidery",2,4087,"100","1"
"coastal embroidery",3,2728,"100","1"
"nautical embroidery",3,9406,"100","1"
"elegant embroidery",1,11475,"100","1"
"alphabet embroidery",3,36489,"100","1"
"fox embroidery",3,12179,"100","1"
"quote embroidery",1,40371,"100","1"
"pride embroidery",1,10301,"100","1"
"peacock embroidery",3,3436,"100","1"
"advanced embroidery",2,2797,"100","1"
"kitchen embroidery",3,71735,"100","1"
"woman embroidery",1,199742,"100","1"
"moon embroidery",3,18444,"100","1"
"spiritual embroidery",1,2945,"100","1"
"witchy embroidery",3,11755,"100","1"
"peony embroidery",3,3487,"100","1"
"tattoo embroidery",3,3914,"100","1"
"leaves embroidery",1,32338,"100","1"
"initials embroidery",2,16684,"100","1"
"sassy embroidery",1,7216,"100","1"
"naughty embroidery",2,2362,"100","1"
"meme embroidery",2,5878,"100","1"
"edgy embroidery",2,657,"100","1"
"scandi embroidery",2,832,"100","1"
"embroidery beginner",3,66614,"100","1"
"ocean embroidery",3,21042,"100","1"
"blueberry embroidery",1,1255,"100","1"
"star embroidery",2,31001,"100","1"
"pansies embroidery",1,1955,"100","1"
"pansy embroidery",1,1955,"100","1"
"embroidery designs trendy",11,11799,"100","3"
"mom embroidery pattern",7,"-","","1"
"baby embroidery pattern",5,106373,"100","3"
"embroidery hoop art",5,58544,"100","3"
"diy embroidery kit",3,106036,"100","2"
"line art embroidery",3,10848,"100","2"
"rainbow embroidery pattern",3,21200,"100","1"
"embroidery how to",2,948443,"100","3"
"christmas embroidery hoop",2,24125,"100","3"
"cute embroidery pattern",1,94675,"100","3"
"cat embroidery pdf",1,12304,"100","1"
"stick and stitch embroidery",773,8515,"52","1"
"witch",22486,848976,"79","1"
"tote bag",16918,742437,"82","1"
"digital download",16843,8592990,"100","11"
"gift for her",15579,5409638,"100","3"
"plants",15068,1902347,"100","1"
"halloween decor",14033,1317768,"99","1"
"anniversary gift",13749,1692772,"100","1"
"housewarming gift",13596,1468837,"100","2"
"gifts for mom",13595,3487305,"100","1"
"sewing pattern",8932,2557962,"100","1"
"birthday",8848,9735019,"100","1"
"templates",8693,6580046,"100","1"
"printable wall art",8523,2760314,"100","1"
"butterfly",8204,743970,"98","1"
"pdf",7714,2630555,"100","2"
"kawaii",7533,779669,"100","1"
"fish",7448,450789,"89","1"
"template",7270,6579967,"100","1"
"printable",7021,6546736,"100","2"
"cross stitch pattern",6173,630186,"100","6"
"plant",5869,1904143,"100","3"
"table lamp",5851,80693,"57","1"
"sewing",4978,4913668,"100","1"
"cottagecore",4713,797998,"100","1"
"pattern",4565,5537618,"100","3"
"rainbow",4382,2049055,"100","1"
"throw pillow",4147,416373,"100","1"
"needlepoint",4014,527364,"100","1"
"nursery decor",3885,1692411,"100","1"
"mom gift",3768,3488374,"100","1"
"retro",3570,4331409,"100","1"
"art nouveau",3383,278592,"96","1"
"hoop",2988,481038,"100","2"
"celestial",2715,567291,"100","1"
"witchy",2677,535754,"100","1"
"book lover",2625,632841,"100","1"
"hydrangea",2532,69611,"72","1"
"craft kit",2528,3025047,"100","1"
"diy",2378,2285747,"100","1"
"boho decor",2388,1108693,"100","1"
"fern",2319,66336,"73","1"
"cottagecore decor",2106,427700,"100","1"
"magic",2048,752971,"100","1"
"bed",2029,259744,"100","1"
"nature",1868,2033086,"100","1"
"custom wedding gift",1806,820024,"100","1"
"design",1660,9503438,"100","3"
"pothos",1634,7751,"34","1"
"cat cross stitch",1422,33072,"68","1"
"funny gift",1425,4477547,"100","1"
"folk art",1431,265713,"100","1"
"california",1297,285476,"100","1"
"cat lover gift",1220,502790,"100","1"
"diy gift",1213,670056,"100","2"
"feminist art",1185,63220,"86","3"
"stick and stitch",1166,9591,"46","2"
"girl",1169,7601784,"100","1"
"houseplants",1143,67720,"89","1"
"botanical art",1081,568230,"100","3"
"counted cross stitch",1098,216630,"100","3"
"fourth of july",1092,167930,"100","1"
"tote bag pattern",1066,40277,"79","1"
"pride month",1042,85315,"96","1"
"disco ball",1008,46298,"83","1"
"party decor",937,3103593,"100","1"
"wildflower",913,471291,"100","1"
"sardines",886,19462,"67","1"
"3d art",891,515165,"100","1"
"lgbtq",876,290794,"100","1"
"70s",885,699625,"100","1"
"handmade gifts",776,2462603,"100","2"
"december",639,109884,"100","1"
"needlepoint patterns",591,294384,"100","2"
"fiber art",493,722448,"100","2"
"capricorn",504,26097,"86","1"
"minimalist art",506,1262930,"100","1"
"crafts for adults",493,209985,"100","1"
"botanical",483,923444,"100","4"
"1970",474,156423,"100","1"
"instant download",440,3673189,"100","9"
"children",428,1637300,"100","1"
"blackwork pattern",401,7998,"65","3"
"dmc color chart",405,5520,"57","2"
"gifts for crafters",409,4652494,"100","1"
