"Keywords","Average Searches","Competition","KD","Tag Occurrences"
"gift",58648,33152946,"100","1"
"home decor",31986,24385803,"100","4"
"vintage",22818,16836528,"100","3"
"wall decor",19423,16572292,"100","6"
"digital",18911,15954347,"100","1"
"digital download",16843,8592990,"100","6"
"embroidery",16297,2125420,"100","3"
"gift for her",15579,5409638,"100","4"
"stained glass",13629,326668,"69","1"
"green",9459,6901379,"100","1"
"baby gift",8425,2515397,"100","1"
"patterns",8098,5533486,"100","1"
"pdf",7714,2630555,"100","1"
"embroidery designs",7082,248390,"77","7"
"cross stitch",6505,781509,"100","9"
"cross stitch pattern",6173,630186,"100","48"
"gothic decor",5053,513743,"100","1"
"sewing",4978,4913668,"100","1"
"embroidery kit",4727,1087559,"100","1"
"cottagecore",4713,797998,"100","4"
"pattern",4565,5537618,"100","1"
"rainbow",4382,2049055,"100","1"
"yoga",4228,353523,"96","2"
"embroidery patterns",3503,1210858,"100","2"
"black cat",3418,498533,"100","1"
"cross stitch kit",3305,527165,"100","1"
"victorian",2987,667568,"100","1"
"embroidery kits",2918,1071034,"100","1"
"tree of life",2700,130927,"84","1"
"alphabet",2687,297645,"100","1"
"embroidery design",2593,809610,"100","12"
"embroidery pattern",2555,1214149,"100","25"
"diamond painting",2350,38138,"61","3"
"cross stitch kits",2333,526205,"100","1"
"nature",1868,2033086,"100","1"
"lion",1780,250788,"100","1"
"mandala",1715,172485,"100","8"
"botanical wall art",1672,433774,"100","1"
"whimsical art",1585,481171,"100","1"
"boho wall decor",1583,706188,"100","1"
"sagittarius",1473,24518,"61","1"
"birthday sign",1442,525982,"100","2"
"folk art",1431,265713,"100","1"
"cat cross stitch",1422,33072,"68","1"
"funny cross stitch",1326,55123,"81","3"
"mini cross stitch",1207,30092,"70","1"
"stick and stitch",1166,9591,"46","2"
"mandala wall art",1154,58940,"85","1"
"counted cross stitch",1098,216630,"100","32"
"botanical art",1081,568230,"100","1"
"forest",1057,767833,"100","1"
"cat ornament",958,78061,"96","1"
"india",894,409493,"100","2"
"spring decor",885,576252,"100","1"
"boho home decor",823,993844,"100","3"
"bird cross stitch",783,27878,"78","1"
"hand embroidery",564,183497,"100","18"
"modern decor",513,1904467,"100","3"
"crafts for adults",493,209985,"100","1"
"embroidery supplies",478,1085452,"100","1"
"needlepoint pattern",444,297887,"100","5"
"instant download",440,3673189,"100","7"
"gifts for crafters",409,4652494,"100","1"
"blackwork pattern",401,7998,"65","5"
"vintage room decor",378,1301871,"100","1"
"small cross stitch",338,37309,"100","6"
"christmas craft",312,1914161,"100","1"
"gnome cross stitch",297,8270,"72","1"
"modern",285,3152640,"100","1"
"home decorations",257,2106130,"100","1"
"easy",242,791637,"100","2"
"modern cross stitch",233,152370,"100","39"
"chart",225,462504,"100","1"
"cross stitch sampler",221,56272,"100","3"
"diy craft kit",220,470387,"100","1"
"digital file",202,3668248,"100","1"
"diwali crafts",199,4109,"66","1"
"floral cross stitch",198,66010,"100","7"
"embroidery art",152,414224,"100","2"
"cute cross stitch",148,72374,"100","3"
"embroidery sampler",146,29948,"100","3"
"geometric art",146,1141393,"100","4"
"mustard",121,71021,"100","1"
"flower embroidery",120,192456,"100","5"
"colorful",116,1955344,"100","1"
"pattern pdf",112,1227780,"100","2"
"beach cross stitch",107,7446,"92","4"
"owl cross stitch",105,7228,"92","1"
"fox cross stitch",104,7374,"93","1"
"sacred geometry art",102,18481,"100","1"
"home decoration",101,2098252,"100","1"
"winter wall decor",99,454611,"100","1"
"embroidery template",93,72304,"100","3"
"diagram",93,29114,"100","1"
"framing",90,1816607,"100","1"
"pdf patterns",78,1226014,"100","2"
"halloween cat",78,321445,"100","1"
"pdf download",71,1294194,"100","5"
