"Keywords","Average Searches","Competition","KD","Tag Occurrences"
"stick and stitch",1166,9591,"46","78"
"fall embroidery designs",1133,10416,"48","1"
"witchcraft supplies",2020,24980,"55","1"
"summerween",1228,25417,"66","2"
"cat cross stitch",1422,33072,"68","1"
"cauldron",1458,38520,"71","1"
"embroidery designs",7082,248390,"77","10"
"witch",22486,848976,"79","6"
"trick or treat bag",1368,51281,"79","1"
"book lover gift",13420,537834,"80","1"
"funny cross stitch",1326,55123,"81","1"
"stocking stuffers",12539,536732,"82","1"
"halloween decorations",4216,233728,"87","1"
"goth",8025,461474,"88","2"
"fall cross stitch",353,22201,"90","2"
"bat",3805,250558,"91","1"
"hocus pocus",1288,84604,"91","1"
"witchy decor",2883,195854,"92","1"
"pagan",1893,135982,"93","1"
"pet cross stitch",131,10457,"95","1"
"potion",709,58271,"96","1"
"pumpkin embroidery designs",100,8186,"96","1"
"halloween",45078,4118370,"98","14"
"halloween sweatshirt",4525,403988,"98","1"
"embroidered hat",3055,272885,"98","2"
"cottage core",1908,170487,"98","1"
"halloween decor",14033,1317768,"99","5"
"fall embroidery files",158,15263,"99","1"
"halloween stitch",1,83260,"100","7"
"stick and stitch kit",6,3290,"100","2"
"stick and stitch pdf",3,4356,"100","7"
"peel and stick",1098,120615,"100","6"
"stick and sew",2,1086,"100","3"
"stick n stitch",5,593,"100","4"
"broom stick",3,1283,"100","3"
"vintage halloween",3253,473639,"100","1"
"halloween party",1637,1145292,"100","1"
"halloween gift",785,1612284,"100","3"
"halloween embroidery",630,129398,"100","49"
"cute halloween",454,1076814,"100","5"
"halloween decoration",436,235053,"100","1"
"halloween ghost",383,946101,"100","4"
"halloween craft",306,838692,"100","13"
"halloween candy",293,158860,"100","1"
"halloween bundle",288,136110,"100","1"
"halloween witch",223,544889,"100","2"
"halloween crafts",205,870462,"100","5"
"kawaii halloween",97,97869,"100","1"
"halloween sewing",86,217832,"100","4"
"halloween cat",78,321445,"100","1"
"halloween spooky",37,1927942,"100","4"
"halloween sayings",33,112454,"100","1"
"halloween pattern",7,305767,"100","15"
"halloween diy",5,122885,"100","7"
"halloween patterns",6,310348,"100","4"
"monochrome halloween",1,1539,"100","2"
"halloween design",4,578316,"100","2"
"halloween theme",2,158265,"100","2"
"halloween kit",2,177784,"100","1"
"halloween patches",1,88040,"100","1"
"halloween pun",1,13537,"100","1"
"coquette halloween",3,127575,"100","1"
"girly halloween",2,72760,"100","1"
"halloween silhouette",3,68950,"100","1"
"halloween download",6,632767,"100","1"
"halloween pdf",5,126658,"100","1"
"halloween icons",2,11284,"100","1"
"spooky halloween",4,1784462,"100","1"
"witchy halloween",2,259594,"100","1"
"cross stitch",6505,781509,"100","1"
"stitch pattern",4,844228,"100","1"
"stitch patterns",2,809392,"100","2"
"black and white",19,4665083,"100","2"
"crafts and hobbies",2,2422532,"100","1"
