"Keywords","Average Searches","Competition","KD","Tag Occurrences"
"stick and stitch terrarium",0,9,"","0"
"terrarium",6763,80781,"54","2"
"stick and stitch",1166,9591,"46","9"
"cross stitch",6505,781509,"100","8"
"hand stitch pdf",2,41291,"100","1"
"digital download",16843,8592990,"100","1"
"cottagecore",4713,797998,"100","6"
"needlepoint",4014,527364,"100","2"
"embroidery pattern",2555,1214149,"100","2"
"botanical wall art",1672,433774,"100","1"
"hand embroidery",564,183497,"100","8"
"botanicals",111,906555,"100","1"
"beginner embroidery",20,83716,"100","1"
"beginner friendly",1,53238,"100","8"
"needlepoint design",4,68707,"100","6"
"hand drawn artwork",2,19735,"100","5"
"needlework kit",2,44079,"100","2"
"cute cottagecore",1,122308,"100","2"
"digital download pdf",4,747162,"100","1"
"printable pattern",1,324397,"100","1"
"hanging plant art",2,19940,"100","1"
"garden embroidery",1,42094,"100","1"
