"Keywords","Average Searches","Competition","KD","Tag Occurrences"
"stickvorlagen",0,15,"","0"
"stickvorlagen kreuzstich",1,"-","","0"
"gift",58648,33152946,"100","1"
"embroidery designs",7082,248390,"77","1"
"printable",7021,6546736,"100","1"
"cross stitch pattern",6173,630186,"100","1"
"sewing",4978,4913668,"100","1"
"pattern",4565,5537618,"100","1"
"alice in wonderland",3968,57361,"58","1"
"stick and stitch",1166,9591,"46","2"
"counted cross stitch",1098,216630,"100","1"
"halloween embroidery",630,129398,"100","1"
"hand embroidery",564,183497,"100","2"
"woodland animals",583,220041,"100","1"
"clothing patterns",510,176040,"100","2"
"needlepoint pattern",444,297887,"100","1"
"downloadable",345,433453,"100","1"
"magazine",363,199248,"100","1"
"dog embroidery",334,62932,"100","1"
"pet embroidery",293,38934,"100","1"
"modern cross stitch",233,152370,"100","1"
"characters",183,515249,"100","1"
"denim embroidery",95,8101,"97","4"
"flower embroidery",120,192456,"100","2"
"fall embroidery",124,82506,"100","2"
"embroidery bundle",26,40413,"100","10"
"hand embroidery pdf",3,56197,"100","7"
"embroidered pocket",1,11866,"100","6"
"floral embroidery",13,216896,"100","5"
"pocket pattern",6,49943,"100","5"
"denim jacket pattern",10,1226,"100","5"
"clothing embroidery",3,182090,"100","4"
"mini embroidery",23,66523,"100","3"
"embroidery clothes",3,36968,"100","3"
"embroidery jeans",5,5087,"100","2"
"small embroidery",2,56616,"100","2"
"wildflower pattern",2,27877,"100","2"
"small designs",1,26967,"100","2"
"tiny embroidery",2,15546,"100","2"
"embroidery clothing",2,219175,"100","2"
"embroidery for jeans",2,4187,"100","2"
"themed",2,2257837,"100","1"
"create",3,152211,"100","1"
"spooky embroidery",13,53931,"100","1"
"embroidery hoop art",5,58544,"100","1"
"cross stitch chart",8,170609,"100","1"
"gift for crafters",2,4478161,"100","1"
"carlsbad caverns",1,1195,"100","1"
"garden embroidery",1,42094,"100","1"
"vegetable embroidery",2,3101,"100","1"
"vegetable pdf",1,"-","","1"
"food embroidery",2,15511,"100","1"
"botanical embroidery",5,20955,"100","1"
"beetle embroidery",1,1620,"100","1"
"bugs embroidery",1,8403,"100","1"
"butterfly moth",2,32742,"100","1"
"dragonfly pattern",1,6060,"100","1"
"denim pattern",3,6469,"100","1"
"pocket embroidery",4,12920,"100","1"
"jeans embroidery",7,5063,"100","1"
"animal embroidery",5,150359,"100","1"
"autumn patterns",1,98212,"100","1"
"stick and stitch pdf",3,4356,"100","1"
"autumn pattern",1,113825,"100","1"
"botanical line art",28,31238,"100","1"
"embroidery gift",5,505731,"100","1"
"wildflower design",1,61591,"100","1"
"simple embroidery",4,37085,"100","1"
"flower bundle",3,150885,"100","1"
