"Keywords","Average Searches","Competition","KD","Tag Occurrences"
"pokemon",48414,143307,"24","1"
"tapestry",16914,378813,"68","19"
"tarot",13273,253080,"64","1"
"bts",12193,37225,"24","1"
"yarn",6654,388650,"88","3"
"unicorn",5432,242292,"82","1"
"dark academia",4731,200106,"81","1"
"wall tapestry",3952,128286,"76","1"
"classroom decor",3569,266619,"94","1"
"meditation",2825,356862,"100","1"
"cat crochet pattern",2793,19089,"42","1"
"teacher appreciation",2591,451989,"100","1"
"crochet gifts",2583,426807,"100","1"
"custom tapestry",2511,29338,"53","1"
"tapestry wall art",2041,82194,"80","1"
"textile wall art",2016,43213,"67","1"
"woven tapestry",1913,62262,"76","1"
"tapestries",1833,379051,"100","1"
"arirang",1784,3,"1","1"
"gender reveal",1730,287583,"100","1"
"weird",1652,136632,"96","1"
"woven wall art",1538,33855,"67","1"
"eclectic wall art",1522,435620,"100","1"
"vintage tapestry",1449,64772,"83","2"
"nasa",1424,27230,"64","1"
"medieval tapestry",1403,8732,"40","1"
"japanese decor",1332,282560,"100","1"
"unicorn tapestry",1119,2493,"17","1"
"baby shower backdrop",995,49542,"85","1"
"buddha",988,64736,"91","1"
"cotton throw blanket",984,165650,"100","1"
"anime wall art",958,416369,"100","1"
"textile wall hanging",873,12456,"58","1"
"crochet hook",792,42793,"87","1"
"army",755,190141,"100","1"
"castle",690,214407,"100","1"
"crochet tapestry",683,117652,"100","5"
"textile art",635,75815,"100","4"
"tarot card",583,130878,"100","1"
"pokemon decor",561,42745,"94","1"
"gaming room decor",549,42172,"94","1"
"jimin",538,8133,"59","1"
"thoth tarot",475,366,"1","1"
"cactus art",461,75157,"100","1"
"psychedelic",455,132564,"100","1"
"weaving",449,320214,"100","8"
"art kit",424,494718,"100","1"
"hand made",415,459204,"100","1"
"seattle kraken",408,1098,"21","1"
"warm",389,428395,"100","1"
"weird art",369,47469,"100","1"
"galaxy",336,332493,"100","1"
"loom",327,49281,"100","1"
"van gogh",314,57795,"100","1"
"indian tapestry",307,3244,"51","1"
"nutcracker ballet",294,24885,"96","1"
"jungkook",288,9038,"75","1"
"wool yarn",282,72561,"100","1"
"funny cat gift",246,263589,"100","1"
"suga",236,8578,"78","1"
"easy crochet pattern",230,129544,"100","1"
"diy craft kit",220,470387,"100","3"
"teen room decor",219,71094,"100","1"
"crochet decor",218,212410,"100","2"
"tapestry crochet",214,118205,"100","4"
"weaving loom",201,13668,"92","21"
"needle punch kit",198,7443,"79","1"
"divination",198,132109,"100","1"
"funny crochet",192,27487,"100","2"
"goth crochet",190,5879,"75","1"
"kawaii room decor",178,32215,"100","1"
"mandala tapestry",158,3261,"66","1"
"woven",152,371953,"100","1"
"teacher decor",146,480477,"100","1"
"gender announcement",146,300916,"100","1"
"therapy art",134,99572,"100","1"
"christmas nutcracker",133,91929,"100","1"
"positive crochet",130,2418,"63","1"
"bobbin",129,13793,"100","2"
"fantasy tapestry",127,9925,"95","1"
"the hermit",127,8794,"92","1"
"jin",123,12171,"100","1"
"booklet",119,54660,"100","1"
"photo backdrop",118,121065,"100","1"
"starter kit",108,19216,"100","1"
"classroom banner",107,12632,"100","1"
"christmas tapestry",105,38030,"100","1"
"boho wall hanging",103,61361,"100","2"
"classroom wall art",103,167577,"100","1"
"crochet jester",102,218,"16","1"
"bead art",100,228919,"100","2"
"crochet art",98,147056,"100","2"
"moon tapestry",93,5578,"89","1"
"spiritual tapestry",92,5973,"91","2"
"japanese kimono",75,24620,"100","1"
"moon phase",65,61932,"100","1"
"flower tapestry",56,23166,"100","1"
"textileart",56,252,"33","1"
"jhope",53,6605,"100","1"
"party backdrop",50,195086,"100","1"
"bead pattern",48,123011,"100","2"
"alpaca wool yarn",48,4454,"98","2"
"music teacher gift",48,103060,"100","1"
"weaving loom kit",47,6244,"100","3"
"hand woven",47,40270,"100","1"
"mental health art",44,122742,"100","1"
"sacred",44,147535,"100","1"
"tutorial",41,468522,"100","1"
"constellations",33,64305,"100","2"
"clown crochet",33,2044,"90","1"
"rat king",27,1016,"79","1"
"yin yang wall art",27,5059,"100","1"
"taehyung",25,5206,"100","1"
"reflection",24,110944,"100","1"
"weaving kit",23,71476,"100","13"
"spinning",23,58523,"100","1"
"frame loom",22,645,"73","3"
"flower crochet",21,89398,"100","2"
"crochet needle",21,14100,"100","2"
"mental wellness",19,51222,"100","1"
"boho classroom",19,18363,"100","1"
"wallhanging",18,14753,"100","2"
"vw",18,11816,"100","1"
"eyeball",18,17657,"100","1"
"miyuki delica",17,41617,"100","1"
"hand knit",17,102725,"100","1"
"mini tapestry",16,6994,"100","1"
