"Keywords","Average Searches","Competition","KD","Tag Occurrences"
"wooden wick candle",5,6075,"100","91"
"large wooden wick candle",1,"-","","0"
"unscented wooden wick candle",1,"-","","0"
"wooden wick candle mockup",1,"-","","0"
"8 oz wooden wick candle",1,"-","","0"
"wooden wick candle guide canva",1,"-","","0"
"pie spice wooden wick candle",1,"-","","0"
"wooden wick candle care digital product",1,"-","","0"
"wooden wick candle safety guide and thank you 352in",1,"-","","0"
"wooden wick candles",5,6317,"100","2"
"wood wick",2,13521,"100","4"
"wood wick candle",126,13276,"100","10"
"unscented wood wick",19,449,"69","1"
"wood wick soy candle",5,10731,"100","1"
"candle",19412,1043531,"87","16"
"fall candle",1748,59689,"77","4"
"christmas candle",1105,207978,"100","3"
"candle favors",829,35009,"81","1"
"soy candle",783,396126,"100","13"
"candle labels",762,30941,"80","1"
"flower candle",409,43558,"100","1"
"funny candle",403,130039,"100","1"
"candle set",395,82950,"100","1"
"candle gift",339,538506,"100","5"
"autumn candle",320,30661,"99","2"
"handmade candle",305,119156,"100","22"
"mom candle",303,55646,"100","1"
"samhain candle",264,1594,"39","1"
"halloween candle",241,58120,"100","4"
"nurse candle",239,7451,"75","1"
"vanilla candle",210,32891,"100","2"
"woodwick candle",208,1168,"37","2"
"pumpkin candle",194,29990,"100","2"
"yule candle",183,2452,"56","1"
"witch candle",172,26613,"100","2"
"prayer candle",133,14571,"100","1"
"witchy candle",125,18011,"100","3"
"food candle",113,37501,"100","1"
"black candle",110,102849,"100","1"
"natural candle",101,71616,"100","8"
"aromatherapy candle",90,58454,"100","7"
"floral candle",90,54507,"100","2"
"unique candle",90,81871,"100","1"
"scented candle",54,275667,"100","11"
"beeswax candle",53,23104,"100","5"
"patchouli candle",38,3637,"99","2"
"ritual candle",37,49171,"100","1"
"cozy candle",33,54556,"100","4"
"luxury candle",23,24178,"100","16"
"winter candle",18,36763,"100","1"
"lavender candle",15,22034,"100","3"
"coconut candle",14,60959,"100","3"
"candle jar",13,74904,"100","2"
"love candle",13,45258,"100","1"
"aphrodite candle",10,567,"88","1"
"bread candle",11,2520,"100","1"
"dessert candle",9,7689,"100","2"
"large candle",8,17905,"100","2"
"sandalwood candle",8,6525,"100","2"
"decorative candle",8,35188,"100","1"
"frosted candle",7,10433,"100","3"
"ghost candle",7,9358,"100","1"
"ceramic candle",7,24718,"100","1"
"candle template",6,26034,"100","2"
"homemade candle",5,12522,"100","2"
"jasmine candle",6,4834,"100","1"
