Tag,Tag Occurrences,Avg. Searches (USA),Avg. Clicks  (USA),Avg. CTR  (USA),Etsy Competition (USA),Keyword Difficulty (USA),Google Searches
"advanced embroidery","1","< 20","Unknown","Unknown","2,797","100","0"
"advent stitching","1","Unknown","Unknown","Unknown","1,172","","0"
"anxiety relief craft","1","Unknown","Unknown","Unknown","Unknown","","0"
"autumn hoop art","1","Unknown","Unknown","Unknown","1,204","","0"
"autumn pdf pattern","1","Unknown","Unknown","Unknown","18,222","","0"
"backpack pin badge","1","Unknown","Unknown","Unknown","8,698","","0"
"baking lover gift","1","< 20","Unknown","Unknown","28,021","100","0"
"ballet christmas","1","< 20","Unknown","Unknown","34,133","100","0"
"bedroom wall art","1","1,953","1,989","102%","3,832,851","100","5,400"
"beginner boho","1","Unknown","Unknown","Unknown","Unknown","","0"
"beginner botanical","1","Unknown","Unknown","Unknown","2,605","","0"
"beginner christmas","1","Unknown","Unknown","Unknown","33,090","","0"
"beginner craft","1","< 20","Unknown","Unknown","182,103","100","0"
"beginner design","3","Unknown","Unknown","Unknown","36,758","","0"
"beginner embroidery","2","< 20","< 20","100%","83,716","100","1,300"
"beginner festive","1","Unknown","Unknown","Unknown","Unknown","","0"
"beginner friendly","1","< 20","Unknown","Unknown","53,238","100","0"
"beginner geometric","2","Unknown","Unknown","Unknown","Unknown","","0"
"beginner holiday","1","Unknown","Unknown","Unknown","Unknown","","0"
"beginner leaf design","1","Unknown","Unknown","Unknown","Unknown","","0"
"beginner pattern","2","< 20","Unknown","Unknown","258,321","100","0"
"beginner poinsettia","1","Unknown","Unknown","Unknown","Unknown","","0"
"beginner wreath","1","Unknown","Unknown","Unknown","Unknown","","0"
"berry branch design","1","Unknown","Unknown","Unknown","400","","0"
"berry embroidery","1","Unknown","Unknown","Unknown","7,911","","0"
"berry pattern pdf","1","Unknown","Unknown","Unknown","2,525","","0"
"best friend gift","1","4,148","4,123","99%","430,257","100","1,300"
"bohemian pattern","1","< 20","Unknown","Unknown","43,708","100","0"
"boho embroidery","1","< 20","Unknown","Unknown","52,500","100","0"
"boho hoop art","1","Unknown","Unknown","Unknown","5,039","","0"
"boho mandala","1","Unknown","Unknown","Unknown","34,553","","0"
"boho wall decor","1","1,583","1,557","98%","706,188","100","4,400"
"botanical christmas","1","Unknown","Unknown","Unknown","66,513","","0"
"botanical embroidery","7","< 20","Unknown","Unknown","20,955","100","0"
"botanical fan design","1","Unknown","Unknown","Unknown","Unknown","","0"
"botanical pattern","1","< 20","Unknown","Unknown","70,399","100","0"
"botanical wreath","1","< 20","Unknown","Unknown","12,034","100","0"
"bow embroidery","1","53","69","130%","66,082","100","0"
"bow pattern pdf","1","Unknown","Unknown","Unknown","6,023","","0"
"boxy cropped tee","1","< 20","< 20","< 20%","7,901","100","3,600"
"branch hoop art","1","Unknown","Unknown","Unknown","Unknown","","0"
"branch wreath","1","< 20","Unknown","Unknown","6,460","100","0"
"burnout recovery","1","< 20","< 20","82%","1,802","100","0"
"calm evening craft","1","Unknown","Unknown","Unknown","Unknown","","0"
"calm stitching","3","Unknown","Unknown","Unknown","1,808","","0"
"calming craft","1","Unknown","Unknown","Unknown","11,691","","0"
"calming wall art","1","< 20","< 20","< 20%","123,118","100","480"
"candle for her","1","< 20","Unknown","Unknown","129,766","100","50"
"candle with lid","1","< 20","Unknown","Unknown","10,467","100","0"
"candy cane","1","198","193","97%","135,479","100","0"
"candy cane decor","1","< 20","Unknown","Unknown","48,313","100","0"
"candy cane hoop art","1","Unknown","Unknown","Unknown","Unknown","","0"
"candy cane pattern","1","< 20","Unknown","Unknown","10,262","100","1,000"
