listing_id,visits,title
4415035303,35,"Digital leaf mandala embroidery pattern — beginner-friendly design — PDF download for 6” and 8” hoops"
4466080258,19,"Digital geometric embroidery pattern — beginner-friendly design — PDF download for 6” or 8” hoops"
4466789627,15,"Geometric Wheel Hand Embroidery Pattern PDF, Radial Line Hoop Art for Mindful Stitching, Beginner Friendly, 6 or 8 Inch Hoops"
4466076995,14,"Digital geometric embroidery pattern — beginner-friendly hoop design — PDF download for calm stitching"
4415032102,13,"Fall Leaves Embroidery Pattern PDF, Autumn Botanical Hoop Art, Beginner Friendly Hand Embroidery Design, 6 and 8 Inch, Cozy Fall Craft"
4414949521,9,"Beginner floral embroidery design — PDF digital product — 6"" & 8"" hoops"
4465357735,8,"Beginner Botanical Embroidery Design, Floral Hoop Art Pattern (PDF Download)"
4417249682,6,"Digital floral embroidery pattern — hand-drawn flower design — intermediate PDF download"
4466082116,6,"Geometric Rosette Hand Embroidery Pattern PDF, Calming Boho Wall Art Hoop Decor, Beginner Friendly Design, 6 and 8 Inch Hoops"
4417250225,5,"Digital hand-drawn starburst embroidery pattern — intermediate design — PDF download"
4466799018,4,"Folk Leaf Circle Hand Embroidery Pattern PDF, Scandi Nature Hoop Art, Beginner Friendly Design, 6 and 8 Inch Hoops, Download"
4465359686,3,"Leaf and Berry Hand Embroidery Pattern PDF, Scandinavian Folk Hoop Art, Cozy Beginner Craft Gift, 6 or 8 Inch Hoops, Download"
4466797252,2,"Botanical Branch Wreath Hand Embroidery Pattern PDF, Beginner Slow Stitching Hoop Art, Cozy Handmade Gift, 6 and 8 Inch Hoops"
4466793009,2,"Floral Embroidery Pattern, Botanical Wreath Design, Beginner Hoop Art (PDF Download)"
4417250834,2,"Digital hand drawn leaves embroidery pattern — beginner-friendly design — PDF download for calm stitching"
4415081378,2,"Diamond Wreath Hand Embroidery Pattern PDF, Beginner Geometric Hoop Art, Calming Evening Craft for 6 and 8 Inch Hoops, Download"
4466795015,1,"Digital hand-drawn firecracker embroidery pattern — beginner-friendly design — PDF download for calm stitching"
4466795496,1,"Leaf Floral Embroidery Pattern – Beginner Friendly PDF Download (6"" & 8"" Hoops)"
4466078772,1,"Digital floral embroidery pattern — beginner-friendly design — PDF download for 6"" and 8"" hoops"
4465356349,1,"Leaf Fan Hand Embroidery Pattern PDF, Striped Botanical Hoop Art, Beginner Stress Relief Craft, 6 or 8 Inch Hoops, Download"
4466791377,1,"Digital leaf embroidery pattern — beginner-friendly design — PDF download for 6"" and 8"" hoops"
4555452273,1,"Funny Pin Button, Hot Girls Have Grandma Hobbies Pin, Retro Olive Green Badge for Tote Bags & Denim Jackets, Cottagecore Gift"
4522918821,0,"Personalized Photo Portrait Ornament, Unique Engraved Wood Gift, Colorful Handmade Holiday, Multiple Shapes"
4576496750,0,"Personalized Penguin Snow Globe Hand Embroidery Pattern PDF, Custom Text Christmas Hoop Art, Cute Holiday Keepsake, 6 and 8 Inch Hoops"
4576478401,0,"Personalized Christmas Tree Snow Globe Hand Embroidery Pattern PDF, Custom Text Festive Hoop Art, Holiday Keepsake, 6 and 8 Inch Hoops"
4576478415,0,"Personalized Snowy House Snow Globe Hand Embroidery Pattern PDF, Custom Text Christmas Village Hoop Art, Keepsake, 6 and 8 Inch Hoops"
4576478385,0,"Personalized Snowman Snow Globe Hand Embroidery Pattern PDF, Custom Text Christmas Hoop Art, Beginner Keepsake Stitching, 6 and 8 Inch"
4576478347,0,"Candy Cane Hand Embroidery Pattern PDF, Christmas Hoop Art with Bow and Holly, Beginner Holiday Craft, Festive Decor, 6 and 8 Inch Hoops"
4576478333,0,"Christmas Bow Hand Embroidery Pattern PDF, Holiday Hoop Art for Beginners, Cozy December Stitching, 6 and 8 Inch Hoops, Download"
4576496720,0,"Nutcracker Hand Embroidery Pattern PDF, Classic Christmas Hoop Art, Beginner Friendly Holiday Stitching, 6 and 8 Inch Hoops, Download"
4576478365,0,"Poinsettia Hand Embroidery Pattern PDF, Christmas Flower Hoop Art, Beginner Friendly Festive Decor Craft, 6 and 8 Inch Hoops, Download"
4576496782,0,"Christmas Classics Embroidery Pattern Set, 4 Hand Embroidery PDF Designs, Bow Candy Cane Nutcracker Poinsettia, Beginner Bundle"
4555452153,0,"Funny Grandma Hobbies Shirt, Hot Girls Have Grandma Hobbies Cropped Boxy Tee, Cottagecore Gift for Knitting & Gardening Lovers"
4555463292,0,"Funny Candle for Her, Hot Girls Have Grandma Hobbies Soy Candle 13.75oz, Vanilla Bean, Comfort Spice or Sea Breeze, Cozy Gift"
4555463358,0,"Wooden Wick Candle, Hot Girls Have Grandma Hobbies Frosted Glass Candle 11oz, Coconut Soy Wax with Maple Lid, 9 Scents, Fun Gift"
4555463082,0,"Hot Girls Have Grandma Hobbies Button, Funny Round Pinback Badge, Cozy Hobby Pin for Jackets, Totes & Vests, Small Gift for Her"
4522917501,,"UNREADABLE — stats page renders an empty document; listing may be expired, draft or removed"
