keyword,month,searches_chart_read,method
digital products,May 25,33840,"bulk-keyword-tool trend chart, read from SVG path geometry; +/- ~300 at the chart scale (60,000 over ~216px); not an eRank-printed number"
digital products,Jun 25,37840,"bulk-keyword-tool trend chart, read from SVG path geometry; +/- ~300 at the chart scale (60,000 over ~216px); not an eRank-printed number"
digital products,Jul 25,42850,"bulk-keyword-tool trend chart, read from SVG path geometry; +/- ~300 at the chart scale (60,000 over ~216px); not an eRank-printed number"
digital products,Aug 25,9820,"bulk-keyword-tool trend chart, read from SVG path geometry; +/- ~300 at the chart scale (60,000 over ~216px); not an eRank-printed number"
digital products,Sep 25,19770,"bulk-keyword-tool trend chart, read from SVG path geometry; +/- ~300 at the chart scale (60,000 over ~216px); not an eRank-printed number"
digital products,Oct 25,47850,"bulk-keyword-tool trend chart, read from SVG path geometry; +/- ~300 at the chart scale (60,000 over ~216px); not an eRank-printed number"
digital products,Nov 25,28820,"bulk-keyword-tool trend chart, read from SVG path geometry; +/- ~300 at the chart scale (60,000 over ~216px); not an eRank-printed number"
digital products,Dec 25,30830,"bulk-keyword-tool trend chart, read from SVG path geometry; +/- ~300 at the chart scale (60,000 over ~216px); not an eRank-printed number"
digital products,Jan 26,10750,"bulk-keyword-tool trend chart, read from SVG path geometry; +/- ~300 at the chart scale (60,000 over ~216px); not an eRank-printed number"
digital products,Feb 26,30810,"bulk-keyword-tool trend chart, read from SVG path geometry; +/- ~300 at the chart scale (60,000 over ~216px); not an eRank-printed number"
digital products,Mar 26,30810,"bulk-keyword-tool trend chart, read from SVG path geometry; +/- ~300 at the chart scale (60,000 over ~216px); not an eRank-printed number"
digital products,Apr 26,41850,"bulk-keyword-tool trend chart, read from SVG path geometry; +/- ~300 at the chart scale (60,000 over ~216px); not an eRank-printed number"
digital products,May 26,36840,"bulk-keyword-tool trend chart, read from SVG path geometry; +/- ~300 at the chart scale (60,000 over ~216px); not an eRank-printed number"
digital products,Jun 26,35840,"bulk-keyword-tool trend chart, read from SVG path geometry; +/- ~300 at the chart scale (60,000 over ~216px); not an eRank-printed number"
digital products,Jul 26,50850,"bulk-keyword-tool trend chart, read from SVG path geometry; +/- ~300 at the chart scale (60,000 over ~216px); not an eRank-printed number"
embroidery designs,May 25,8740,"bulk-keyword-tool trend chart, read from SVG path geometry; +/- ~300 at the chart scale (60,000 over ~216px); not an eRank-printed number"
embroidery designs,Jun 25,5480,"bulk-keyword-tool trend chart, read from SVG path geometry; +/- ~300 at the chart scale (60,000 over ~216px); not an eRank-printed number"
embroidery designs,Jul 25,4710,"bulk-keyword-tool trend chart, read from SVG path geometry; +/- ~300 at the chart scale (60,000 over ~216px); not an eRank-printed number"
embroidery designs,Aug 25,15650,"bulk-keyword-tool trend chart, read from SVG path geometry; +/- ~300 at the chart scale (60,000 over ~216px); not an eRank-printed number"
embroidery designs,Sep 25,7800,"bulk-keyword-tool trend chart, read from SVG path geometry; +/- ~300 at the chart scale (60,000 over ~216px); not an eRank-printed number"
embroidery designs,Oct 25,10750,"bulk-keyword-tool trend chart, read from SVG path geometry; +/- ~300 at the chart scale (60,000 over ~216px); not an eRank-printed number"
embroidery designs,Nov 25,7740,"bulk-keyword-tool trend chart, read from SVG path geometry; +/- ~300 at the chart scale (60,000 over ~216px); not an eRank-printed number"
embroidery designs,Dec 25,4730,"bulk-keyword-tool trend chart, read from SVG path geometry; +/- ~300 at the chart scale (60,000 over ~216px); not an eRank-printed number"
embroidery designs,Jan 26,3400,"bulk-keyword-tool trend chart, read from SVG path geometry; +/- ~300 at the chart scale (60,000 over ~216px); not an eRank-printed number"
embroidery designs,Feb 26,4530,"bulk-keyword-tool trend chart, read from SVG path geometry; +/- ~300 at the chart scale (60,000 over ~216px); not an eRank-printed number"
embroidery designs,Mar 26,5740,"bulk-keyword-tool trend chart, read from SVG path geometry; +/- ~300 at the chart scale (60,000 over ~216px); not an eRank-printed number"
embroidery designs,Apr 26,4710,"bulk-keyword-tool trend chart, read from SVG path geometry; +/- ~300 at the chart scale (60,000 over ~216px); not an eRank-printed number"
embroidery designs,May 26,5730,"bulk-keyword-tool trend chart, read from SVG path geometry; +/- ~300 at the chart scale (60,000 over ~216px); not an eRank-printed number"
embroidery designs,Jun 26,3460,"bulk-keyword-tool trend chart, read from SVG path geometry; +/- ~300 at the chart scale (60,000 over ~216px); not an eRank-printed number"
embroidery designs,Jul 26,10740,"bulk-keyword-tool trend chart, read from SVG path geometry; +/- ~300 at the chart scale (60,000 over ~216px); not an eRank-printed number"
christmas embroidery,May 25,510,"bulk-keyword-tool trend chart, read from SVG path geometry; +/- ~300 at the chart scale (60,000 over ~216px); not an eRank-printed number"
christmas embroidery,Jun 25,2330,"bulk-keyword-tool trend chart, read from SVG path geometry; +/- ~300 at the chart scale (60,000 over ~216px); not an eRank-printed number"
christmas embroidery,Jul 25,70,"bulk-keyword-tool trend chart, read from SVG path geometry; +/- ~300 at the chart scale (60,000 over ~216px); not an eRank-printed number"
christmas embroidery,Aug 25,1190,"bulk-keyword-tool trend chart, read from SVG path geometry; +/- ~300 at the chart scale (60,000 over ~216px); not an eRank-printed number"
christmas embroidery,Sep 25,2480,"bulk-keyword-tool trend chart, read from SVG path geometry; +/- ~300 at the chart scale (60,000 over ~216px); not an eRank-printed number"
christmas embroidery,Oct 25,2410,"bulk-keyword-tool trend chart, read from SVG path geometry; +/- ~300 at the chart scale (60,000 over ~216px); not an eRank-printed number"
christmas embroidery,Nov 25,1220,"bulk-keyword-tool trend chart, read from SVG path geometry; +/- ~300 at the chart scale (60,000 over ~216px); not an eRank-printed number"
christmas embroidery,Dec 25,60,"bulk-keyword-tool trend chart, read from SVG path geometry; +/- ~300 at the chart scale (60,000 over ~216px); not an eRank-printed number"
christmas embroidery,Jan 26,0,"bulk-keyword-tool trend chart, read from SVG path geometry; +/- ~300 at the chart scale (60,000 over ~216px); not an eRank-printed number"
christmas embroidery,Feb 26,0,"bulk-keyword-tool trend chart, read from SVG path geometry; +/- ~300 at the chart scale (60,000 over ~216px); not an eRank-printed number"
christmas embroidery,Mar 26,10,"bulk-keyword-tool trend chart, read from SVG path geometry; +/- ~300 at the chart scale (60,000 over ~216px); not an eRank-printed number"
christmas embroidery,Apr 26,10,"bulk-keyword-tool trend chart, read from SVG path geometry; +/- ~300 at the chart scale (60,000 over ~216px); not an eRank-printed number"
christmas embroidery,May 26,10,"bulk-keyword-tool trend chart, read from SVG path geometry; +/- ~300 at the chart scale (60,000 over ~216px); not an eRank-printed number"
christmas embroidery,Jun 26,10,"bulk-keyword-tool trend chart, read from SVG path geometry; +/- ~300 at the chart scale (60,000 over ~216px); not an eRank-printed number"
christmas embroidery,Jul 26,10,"bulk-keyword-tool trend chart, read from SVG path geometry; +/- ~300 at the chart scale (60,000 over ~216px); not an eRank-printed number"
